Record_ID,Total_Rule_Violations,High,Medium,Low
MC100442,1,1,0,0
MC103954,1,1,0,0
MC102288,1,1,0,0
MC103196,1,1,0,0
MC102065,1,1,0,0
MC100413,0,0,0,0
MC101805,0,0,0,0
MC103631,0,0,0,0
MC100837,0,0,0,0
MC104186,0,0,0,0
MC101995,0,0,0,0
MC104921,1,1,0,0
MC102593,0,0,0,0
MC101745,1,1,0,0
MC103830,0,0,0,0
MC104871,0,0,0,0
MC102097,0,0,0,0
MC104872,0,0,0,0
MC101810,0,0,0,0
MC101091,0,0,0,0
MC102828,1,1,0,0
MC102200,1,1,0,0
MC103346,0,0,0,0
MC100157,0,0,0,0
MC101242,1,1,0,0
MC100101,0,0,0,0
MC104254,1,1,0,0
MC104882,0,0,0,0
MC100964,0,0,0,0
MC103666,1,1,0,0
MC102803,1,1,0,0
MC103685,1,1,0,0
MC102687,0,0,0,0
MC102231,1,1,0,0
MC104429,0,0,0,0
MC101521,0,0,0,0
MC103178,0,0,0,0
MC100608,1,1,0,0
MC102420,1,1,0,0
MC104646,1,1,0,0
MC102049,1,1,0,0
MC103869,1,1,0,0
MC101239,1,1,0,0
MC103357,1,1,0,0
MC104786,1,1,0,0
MC102467,1,1,0,0
MC100227,0,0,0,0
MC101313,1,1,0,0
MC103158,1,1,0,0
MC104016,0,0,0,0
MC103370,1,1,0,0
MC104653,1,1,0,0
MC100425,1,1,0,0
MC100577,0,0,0,0
MC100125,1,1,0,0
MC100069,0,0,0,0
MC103833,0,0,0,0
MC100960,1,1,0,0
MC101431,1,1,0,0
MC102228,1,1,0,0
MC103923,1,1,0,0
MC101252,0,0,0,0
MC104671,0,0,0,0
MC101499,0,0,0,0
MC102454,0,0,0,0
MC104326,0,0,0,0
MC100999,1,1,0,0
MC104975,0,0,0,0
MC102451,1,1,0,0
MC100931,1,1,0,0
MC101977,0,0,0,0
MC104070,0,0,0,0
MC102308,1,1,0,0
MC104411,1,1,0,0
MC100761,1,1,0,0
MC103521,1,1,0,0
MC101616,0,0,0,0
MC100177,0,0,0,0
MC104267,0,0,0,0
MC101901,1,1,0,0
MC100542,1,1,0,0
MC102846,0,0,0,0
MC102649,0,0,0,0
MC103262,1,1,0,0
MC102032,0,0,0,0
MC101244,0,0,0,0
MC104227,3,3,0,0
MC104452,0,0,0,0
MC103071,1,1,0,0
MC101961,1,1,0,0
MC103532,1,1,0,0
MC101469,1,1,0,0
MC102016,1,1,0,0
MC102694,1,1,0,0
MC101827,0,0,0,0
MC103936,0,0,0,0
MC103303,1,1,0,0
MC101309,1,1,0,0
MC101037,1,1,0,0
MC101160,1,1,0,0
MC100901,0,0,0,0
MC101650,1,1,0,0
MC101350,1,1,0,0
MC103430,1,1,0,0
MC104249,0,0,0,0
MC103483,1,1,0,0
MC102434,0,0,0,0
MC100628,0,0,0,0
MC102725,1,1,0,0
MC101868,0,0,0,0
MC100313,1,1,0,0
MC101210,1,1,0,0
MC104853,0,0,0,0
MC100743,0,0,0,0
MC100826,0,0,0,0
MC101934,1,1,0,0
MC102991,1,1,0,0
MC104523,1,1,0,0
MC103062,1,1,0,0
MC104599,1,1,0,0
MC101009,1,1,0,0
MC104807,0,0,0,0
MC102987,1,1,0,0
MC101496,0,0,0,0
MC103801,0,0,0,0
MC104096,0,0,0,0
MC104986,0,0,0,0
MC100169,1,1,0,0
MC103737,0,0,0,0
MC102893,1,1,0,0
MC101143,0,0,0,0
MC104964,1,1,0,0
MC102935,1,1,0,0
MC101994,1,1,0,0
MC102457,1,1,0,0
MC100611,1,1,0,0
MC103386,1,1,0,0
MC104292,1,1,0,0
MC101170,1,1,0,0
MC104206,0,0,0,0
MC103288,0,0,0,0
MC104693,3,3,0,0
MC101627,0,0,0,0
MC100295,0,0,0,0
MC101502,0,0,0,0
MC101749,0,0,0,0
MC103429,2,1,1,0
MC101660,1,1,0,0
MC100309,1,1,0,0
MC102255,1,1,0,0
MC102719,0,0,0,0
MC100896,0,0,0,0
MC104247,0,0,0,0
MC104899,1,1,0,0
MC100966,0,0,0,0
MC102433,0,0,0,0
MC104172,1,1,0,0
MC102213,0,0,0,0
MC100958,0,0,0,0
MC103325,0,0,0,0
MC100797,0,0,0,0
MC104751,1,1,0,0
MC103942,0,0,0,0
MC103097,0,0,0,0
MC103092,0,0,0,0
MC101633,1,1,0,0
MC100667,1,1,0,0
MC103725,1,1,0,0
MC104170,1,1,0,0
MC101891,1,1,0,0
MC104330,1,1,0,0
MC101174,1,1,0,0
MC102651,1,1,0,0
MC104144,0,0,0,0
MC101460,0,0,0,0
MC102043,1,1,0,0
