Provider_NPI,Record_Count,Medical_Claim_Count,Pharmacy_Claim_Count,Prior_Auth_Count,Flagged_Record_Count,Flagged_Record_Rate,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Rule_Flag_Count,Statistical_Flag_Count,ML_Flag_Count,Average_Consensus_Level,Provider_Risk_Level
1215210273,554,554,0,0,554,100.0,23,23,36.9,99.97,277,554,53,1.6,CRITICAL
1609820125,44,44,0,0,37,84.09,4,9,43.43,99.88,27,26,11,1.45,CRITICAL
1386952034,145,145,0,0,104,71.72,5,4,26.94,89.78,78,56,8,0.98,CRITICAL
1396366308,2,2,0,0,2,100.0,0,2,89.52,89.74,2,2,2,3.0,CRITICAL
1908045857,2,0,2,0,2,100.0,0,2,84.9,84.9,2,2,2,3.0,CRITICAL
1129091098,2,0,2,0,2,100.0,0,2,84.75,84.75,2,2,2,3.0,CRITICAL
1949306366,2,0,0,2,2,100.0,0,2,84.73,84.73,2,2,2,3.0,CRITICAL
1203251898,2,0,2,0,2,100.0,0,2,84.58,84.58,2,2,2,3.0,CRITICAL
1993962280,2,0,0,2,2,100.0,0,2,84.45,84.45,2,2,2,3.0,CRITICAL
1124579929,2,0,0,2,2,100.0,0,2,84.35,84.35,2,2,2,3.0,CRITICAL
1150769152,2,0,2,0,2,100.0,0,2,84.32,84.32,2,2,2,3.0,CRITICAL
1558308825,111,111,0,0,88,79.28,0,2,27.06,89.58,64,43,3,0.99,CRITICAL
UNKNOWN_PROVIDER,60,18,21,21,36,60.0,7,1,27.5,84.93,20,25,18,1.05,HIGH
1013105568,4,4,0,0,4,100.0,3,1,69.97,99.89,4,4,1,2.25,CRITICAL
1891005047,5,5,0,0,5,100.0,2,1,53.92,99.6,3,5,1,1.8,CRITICAL
1972196541,12,12,0,0,10,83.33,1,1,35.42,99.98,7,8,1,1.33,HIGH
1870248593,1,0,1,0,1,100.0,0,1,99.79,99.79,1,1,1,3.0,CRITICAL
1541564391,1,0,1,0,1,100.0,0,1,99.64,99.64,1,1,1,3.0,CRITICAL
1205839164,1,1,0,0,1,100.0,0,1,99.49,99.49,1,1,1,3.0,CRITICAL
1787233815,1,0,1,0,1,100.0,0,1,85.0,85.0,1,1,1,3.0,CRITICAL
1035687794,1,0,1,0,1,100.0,0,1,84.99,84.99,1,1,1,3.0,CRITICAL
1385445111,1,0,1,0,1,100.0,0,1,84.97,84.97,1,1,1,3.0,CRITICAL
1875128996,1,0,1,0,1,100.0,0,1,84.88,84.88,1,1,1,3.0,CRITICAL
1579193203,1,0,1,0,1,100.0,0,1,84.81,84.81,1,1,1,3.0,CRITICAL
1081528135,1,0,1,0,1,100.0,0,1,84.77,84.77,1,1,1,3.0,CRITICAL
1263476604,1,0,1,0,1,100.0,0,1,84.72,84.72,1,1,1,3.0,CRITICAL
1510427825,1,0,1,0,1,100.0,0,1,84.63,84.63,1,1,1,3.0,CRITICAL
1914396988,1,0,1,0,1,100.0,0,1,84.6,84.6,1,1,1,3.0,CRITICAL
1109448042,1,0,1,0,1,100.0,0,1,84.52,84.52,1,1,1,3.0,CRITICAL
1063193327,1,0,1,0,1,100.0,0,1,84.51,84.51,1,1,1,3.0,CRITICAL
1364082830,1,0,1,0,1,100.0,0,1,84.45,84.45,1,1,1,3.0,CRITICAL
1412883052,1,0,0,1,1,100.0,0,1,84.4,84.4,1,1,1,3.0,CRITICAL
1680920934,1,0,1,0,1,100.0,0,1,84.37,84.37,1,1,1,3.0,CRITICAL
1304059508,1,0,1,0,1,100.0,0,1,84.36,84.36,1,1,1,3.0,CRITICAL
1708419735,1,0,1,0,1,100.0,0,1,84.22,84.22,1,1,1,3.0,CRITICAL
1659927556,7,7,0,0,7,100.0,0,1,51.32,99.27,6,6,1,1.86,CRITICAL
1821006867,21,21,0,0,20,95.24,0,1,43.54,99.42,17,18,1,1.71,HIGH
1194077297,5,5,0,0,4,80.0,0,1,37.0,100.0,3,2,1,1.2,HIGH
1295145191,6,6,0,0,4,66.67,0,1,36.58,99.5,4,2,1,1.17,HIGH
1417342163,7,7,0,0,5,71.43,0,1,30.71,99.98,3,4,1,1.14,HIGH
1053482273,51,51,0,0,36,70.59,0,1,27.24,89.25,33,13,1,0.92,HIGH
1134606403,44,44,0,0,31,70.45,0,1,25.1,89.37,24,15,1,0.91,HIGH
1841366812,113,113,0,0,99,87.61,32,0,37.08,60.0,73,75,0,1.31,HIGH
1689688988,28,28,0,0,28,100.0,17,0,46.61,60.0,18,27,0,1.61,CRITICAL
1326288143,5,5,0,0,5,100.0,5,0,60.0,60.0,5,5,0,2.0,CRITICAL
1861686776,4,4,0,0,4,100.0,4,0,60.0,60.0,4,4,0,2.0,CRITICAL
1578928826,9,9,0,0,8,88.89,4,0,38.89,60.0,6,6,0,1.33,HIGH
1427418276,3,3,0,0,3,100.0,3,0,60.0,60.0,3,3,0,2.0,CRITICAL
1598152019,3,3,0,0,3,100.0,3,0,60.0,60.0,3,3,0,2.0,CRITICAL
1845678368,2,0,0,2,2,100.0,2,0,64.95,64.95,0,2,2,2.0,CRITICAL
1530328581,2,0,0,2,2,100.0,2,0,64.91,64.91,0,2,2,2.0,CRITICAL
1736648221,2,0,0,2,2,100.0,2,0,64.55,64.55,0,2,2,2.0,CRITICAL
1892223805,2,0,2,0,2,100.0,2,0,64.54,64.54,0,2,2,2.0,CRITICAL
1280401689,2,0,2,0,2,100.0,2,0,64.49,64.49,0,2,2,2.0,CRITICAL
1420084249,2,0,0,2,2,100.0,2,0,64.31,64.31,0,2,2,2.0,CRITICAL
1821232869,2,2,0,0,2,100.0,2,0,62.34,64.69,1,2,1,2.0,CRITICAL
1366481293,2,2,0,0,2,100.0,2,0,60.0,60.0,2,2,0,2.0,CRITICAL
1477741999,2,2,0,0,2,100.0,2,0,60.0,60.0,2,2,0,2.0,CRITICAL
1770760902,2,2,0,0,2,100.0,2,0,60.0,60.0,2,2,0,2.0,CRITICAL
1184884678,3,3,0,0,3,100.0,2,0,48.33,60.0,2,3,0,1.67,CRITICAL
1114074622,7,7,0,0,7,100.0,2,0,42.14,60.0,7,2,0,1.29,HIGH
1316233174,3,3,0,0,2,66.67,2,0,40.0,60.0,2,2,0,1.33,HIGH
1639534290,7,7,0,0,6,85.71,2,0,39.29,60.0,6,3,0,1.29,HIGH
1124430319,20,20,0,0,17,85.0,2,0,32.25,60.0,14,9,0,1.15,HIGH
1548788771,15,15,0,0,12,80.0,2,0,28.28,64.23,8,5,1,0.93,MEDIUM
1225528151,12,12,0,0,8,66.67,2,0,24.58,60.0,5,6,0,0.92,MEDIUM
1985224018,1,0,1,0,1,100.0,1,0,74.95,74.95,1,1,1,3.0,CRITICAL
1290118575,1,0,1,0,1,100.0,1,0,74.84,74.84,1,1,1,3.0,CRITICAL
1461244432,1,0,0,1,1,100.0,1,0,74.5,74.5,1,1,1,3.0,CRITICAL
1443711424,1,0,1,0,1,100.0,1,0,74.41,74.41,1,1,1,3.0,CRITICAL
1969768904,1,0,1,0,1,100.0,1,0,74.4,74.4,1,1,1,3.0,CRITICAL
1793043147,1,0,1,0,1,100.0,1,0,74.26,74.26,1,1,1,3.0,CRITICAL
1729596422,1,0,1,0,1,100.0,1,0,74.24,74.24,1,1,1,3.0,CRITICAL
1916005274,1,0,1,0,1,100.0,1,0,64.96,64.96,0,1,1,2.0,CRITICAL
1175046843,1,0,1,0,1,100.0,1,0,64.87,64.87,0,1,1,2.0,CRITICAL
1912368008,1,0,1,0,1,100.0,1,0,64.85,64.85,0,1,1,2.0,CRITICAL
1630088017,1,0,1,0,1,100.0,1,0,64.83,64.83,0,1,1,2.0,CRITICAL
1149766173,1,0,1,0,1,100.0,1,0,64.8,64.8,0,1,1,2.0,CRITICAL
1153054014,1,0,1,0,1,100.0,1,0,64.69,64.69,0,1,1,2.0,CRITICAL
1548320435,1,1,0,0,1,100.0,1,0,64.68,64.68,0,1,1,2.0,CRITICAL
1064168062,1,0,1,0,1,100.0,1,0,64.67,64.67,0,1,1,2.0,CRITICAL
1336345578,1,1,0,0,1,100.0,1,0,64.54,64.54,0,1,1,2.0,CRITICAL
1868703648,1,0,1,0,1,100.0,1,0,64.47,64.47,0,1,1,2.0,CRITICAL
1568061059,1,1,0,0,1,100.0,1,0,64.45,64.45,0,1,1,2.0,CRITICAL
1697220824,1,0,1,0,1,100.0,1,0,64.39,64.39,0,1,1,2.0,CRITICAL
1770125932,1,1,0,0,1,100.0,1,0,64.36,64.36,0,1,1,2.0,CRITICAL
1802748919,1,0,1,0,1,100.0,1,0,64.34,64.34,0,1,1,2.0,CRITICAL
1556002386,1,0,1,0,1,100.0,1,0,64.28,64.28,0,1,1,2.0,CRITICAL
1844947669,1,0,1,0,1,100.0,1,0,64.25,64.25,0,1,1,2.0,CRITICAL
1023177250,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1033538413,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1104747811,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1160754643,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1174857825,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1215907951,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1274003795,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1307832067,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1318224454,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1383304048,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1418661594,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1497760243,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1507355825,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1518963230,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1560517239,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1619597143,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1640525944,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1659330496,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1730305004,1,1,0,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
1735620608,1,0,1,0,1,100.0,1,0,60.0,60.0,1,1,0,2.0,CRITICAL
