Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,Consensus_Level_2_Count,Consensus_Level_3_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors,Provider_Explanation
1215210273,MEDICAL_CLAIM,554,512,92.42,53,554,300,284,30,210,13,44.33,93.71,0.91,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,13 critical-risk records; 210 high-risk records; 92.4% flagged records; Average claim risk score = 44.3,"Provider NPI 1215210273 submitted 554 claims, of which 512 (92.4%) were flagged as high-risk. This provider is flagged for REVIEW because of: 13 critical-risk records, 210 high-risk records, flagged claim proportion of 92.4% exceeds 10%, average claim risk score is 44.3. Pattern-level investigation is recommended."
1609820125,MEDICAL_CLAIM,44,25,56.82,11,26,28,6,8,8,9,38.85,79.93,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,9 critical-risk records; 8 high-risk records; 56.8% flagged records; Average claim risk score = 38.8,"Provider NPI 1609820125 submitted 44 claims, of which 25 (56.8%) were flagged as high-risk. This provider is flagged for REVIEW because of: 9 critical-risk records, 8 high-risk records, flagged claim proportion of 56.8% exceeds 10%, average claim risk score is 38.9. Pattern-level investigation is recommended."
1841366812,MEDICAL_CLAIM,113,100,88.5,0,75,85,73,0,36,4,45.24,88.98,0.89,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 critical-risk records; 36 high-risk records; 88.5% flagged records; Average claim risk score = 45.2,"Provider NPI 1841366812 submitted 113 claims, of which 100 (88.5%) were flagged as high-risk. This provider is flagged for REVIEW because of: 4 critical-risk records, 36 high-risk records, flagged claim proportion of 88.5% exceeds 10%, average claim risk score is 45.2. Pattern-level investigation is recommended."
1386952034,MEDICAL_CLAIM,145,104,71.72,8,56,92,73,5,36,2,38.51,80.4,1.39,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 36 high-risk records; 71.7% flagged records; Average claim risk score = 38.5,"Provider NPI 1386952034 submitted 145 claims, of which 104 (71.7%) were flagged as high-risk. This provider is flagged for REVIEW because of: 2 critical-risk records, 36 high-risk records, flagged claim proportion of 71.7% exceeds 10%, average claim risk score is 38.5. Pattern-level investigation is recommended."
1225528151,MEDICAL_CLAIM,12,6,50.0,0,6,7,2,0,2,2,32.76,75.49,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 2 high-risk records; 50.0% flagged records,"Provider NPI 1225528151 submitted 12 claims, of which 6 (50.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 2 critical-risk records, 2 high-risk records, flagged claim proportion of 50.0% exceeds 10%. Pattern-level investigation is recommended."
1972196541,MEDICAL_CLAIM,12,9,75.0,1,8,7,2,1,1,2,37.36,79.99,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 1 high-risk records; 75.0% flagged records; Average claim risk score = 37.4,"Provider NPI 1972196541 submitted 12 claims, of which 9 (75.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 2 critical-risk records, 1 high-risk records, flagged claim proportion of 75.0% exceeds 10%, average claim risk score is 37.4. Pattern-level investigation is recommended."
1689688988,MEDICAL_CLAIM,28,28,100.0,0,27,20,17,0,16,1,50.22,75.48,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 16 high-risk records; 100.0% flagged records; Average claim risk score = 50.2,"Provider NPI 1689688988 submitted 28 claims, of which 28 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 16 high-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 50.2. Pattern-level investigation is recommended."
1558308825,MEDICAL_CLAIM,111,84,75.68,3,43,67,63,2,10,1,35.36,80.99,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 10 high-risk records; 75.7% flagged records; Average claim risk score = 35.4,"Provider NPI 1558308825 submitted 111 claims, of which 84 (75.7%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 10 high-risk records, flagged claim proportion of 75.7% exceeds 10%, average claim risk score is 35.4. Pattern-level investigation is recommended."
1598053472,MEDICAL_CLAIM,17,15,88.24,0,17,21,15,0,7,1,50.61,80.39,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 7 high-risk records; 88.2% flagged records; Average claim risk score = 50.6,"Provider NPI 1598053472 submitted 17 claims, of which 15 (88.2%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 7 high-risk records, flagged claim proportion of 88.2% exceeds 10%, average claim risk score is 50.6. Pattern-level investigation is recommended."
1225684368,MEDICAL_CLAIM,16,16,100.0,0,16,17,13,1,7,1,50.25,80.65,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 7 high-risk records; 100.0% flagged records; Average claim risk score = 50.2,"Provider NPI 1225684368 submitted 16 claims, of which 16 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 7 high-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 50.2. Pattern-level investigation is recommended."
1164451613,MEDICAL_CLAIM,21,18,85.71,0,19,19,17,0,6,1,42.34,75.15,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 6 high-risk records; 85.7% flagged records; Average claim risk score = 42.3,"Provider NPI 1164451613 submitted 21 claims, of which 18 (85.7%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 6 high-risk records, flagged claim proportion of 85.7% exceeds 10%, average claim risk score is 42.3. Pattern-level investigation is recommended."
1700237633,MEDICAL_CLAIM,77,44,57.14,0,42,42,37,0,5,1,31.38,76.17,1.3,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 5 high-risk records; 57.1% flagged records,"Provider NPI 1700237633 submitted 77 claims, of which 44 (57.1%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 5 high-risk records, flagged claim proportion of 57.1% exceeds 10%. Pattern-level investigation is recommended."
1326288143,MEDICAL_CLAIM,5,5,100.0,0,5,5,5,0,4,1,74.49,75.12,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 4 high-risk records; 100.0% flagged records; Average claim risk score = 74.5,"Provider NPI 1326288143 submitted 5 claims, of which 5 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 4 high-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 74.5. Pattern-level investigation is recommended."
1659927556,MEDICAL_CLAIM,7,7,100.0,1,6,9,2,0,3,1,52.56,95.55,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 100.0% flagged records; Average claim risk score = 52.6,"Provider NPI 1659927556 submitted 7 claims, of which 7 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 3 high-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 52.6. Pattern-level investigation is recommended."
