Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors
1215210273,MEDICAL_CLAIM,554,554,100.0,67,554,300,276,38,48.8,100.0,0.91,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,38 critical-risk records; 276 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 48.8
1386952034,MEDICAL_CLAIM,145,145,100.0,5,145,92,66,12,48.25,89.94,1.39,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,12 critical-risk records; 66 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 48.2
1609820125,MEDICAL_CLAIM,44,32,72.73,9,18,28,6,8,36.88,89.97,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,8 critical-risk records; 6 high-risk records; 72.7% flagged records (Threshold: 10%); High average claim risk score of 36.9
1841366812,MEDICAL_CLAIM,113,108,95.58,0,113,85,67,6,50.66,84.78,0.89,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,6 critical-risk records; 67 high-risk records; 95.6% flagged records (Threshold: 10%); High average claim risk score of 50.7
1700237633,MEDICAL_CLAIM,77,61,79.22,0,77,42,34,3,42.74,83.72,1.3,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,3 critical-risk records; 34 high-risk records; 79.2% flagged records (Threshold: 10%); High average claim risk score of 42.7
1598053472,MEDICAL_CLAIM,17,15,88.24,0,17,21,12,3,55.59,78.76,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,3 critical-risk records; 12 high-risk records; 88.2% flagged records (Threshold: 10%); High average claim risk score of 55.6
1558308825,MEDICAL_CLAIM,111,67,60.36,3,111,67,62,2,42.77,100.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 62 high-risk records; 60.4% flagged records (Threshold: 10%); High average claim risk score of 42.8
1134606403,MEDICAL_CLAIM,44,24,54.55,0,44,29,22,2,40.89,84.84,2.27,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 22 high-risk records; 54.5% flagged records (Threshold: 10%); High average claim risk score of 40.9
1467430124,MEDICAL_CLAIM,24,20,83.33,2,23,20,17,2,52.09,89.79,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 17 high-risk records; 83.3% flagged records (Threshold: 10%); High average claim risk score of 52.1
UNKNOWN_PROVIDER,PHARMACY_CLAIM,60,27,45.0,23,19,20,8,2,30.68,79.98,12.73,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 8 high-risk records; 45.0% flagged records (Threshold: 10%)
1908045857,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,79.97,79.97,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0
1129091098,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,79.94,79.94,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9
1949306366,PRIOR_AUTH,2,2,100.0,2,2,2,0,2,79.93,79.93,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9; High claim denial/rejection rate of 100.0%
1203251898,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,79.89,79.89,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9
1150769152,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,79.83,79.83,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8
1992962117,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,79.79,79.79,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,2 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8; High claim denial/rejection rate of 100.0%
1689688988,MEDICAL_CLAIM,28,18,64.29,0,27,20,16,1,44.77,76.79,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 16 high-risk records; 64.3% flagged records (Threshold: 10%); High average claim risk score of 44.8
1225684368,MEDICAL_CLAIM,16,15,93.75,1,15,17,13,1,54.66,100.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 13 high-risk records; 93.8% flagged records (Threshold: 10%); High average claim risk score of 54.7
1730144593,MEDICAL_CLAIM,20,19,95.0,0,20,8,5,1,38.62,79.52,5.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 5 high-risk records; 95.0% flagged records (Threshold: 10%); High average claim risk score of 38.6
1013105568,MEDICAL_CLAIM,4,4,100.0,1,4,4,3,1,65.34,84.97,25.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 65.3; High claim denial/rejection rate of 25.0%
1801284443,MEDICAL_CLAIM,6,4,66.67,0,6,6,3,1,49.76,78.42,16.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 66.7% flagged records (Threshold: 10%); High average claim risk score of 49.8
1891005047,MEDICAL_CLAIM,5,3,60.0,1,5,3,2,1,50.72,89.9,20.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 60.0% flagged records (Threshold: 10%); High average claim risk score of 50.7
1972196541,MEDICAL_CLAIM,12,9,75.0,1,5,7,2,1,33.73,90.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 75.0% flagged records (Threshold: 10%)
1184670663,MEDICAL_CLAIM,10,5,50.0,0,3,7,2,1,28.69,79.46,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 50.0% flagged records (Threshold: 10%)
1396366308,MEDICAL_CLAIM,2,2,100.0,1,2,2,1,1,72.38,84.93,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 72.4
1639593338,MEDICAL_CLAIM,2,2,100.0,0,2,4,1,1,71.86,79.17,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 71.9
1841226347,MEDICAL_CLAIM,4,3,75.0,0,2,6,1,1,45.77,79.63,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 75.0% flagged records (Threshold: 10%); High average claim risk score of 45.8
1174625057,MEDICAL_CLAIM,4,3,75.0,0,2,6,1,1,44.11,78.94,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 75.0% flagged records (Threshold: 10%); High average claim risk score of 44.1
1194077297,MEDICAL_CLAIM,5,3,60.0,1,2,6,1,1,43.84,100.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 60.0% flagged records (Threshold: 10%); High average claim risk score of 43.8
1659927556,MEDICAL_CLAIM,7,7,100.0,0,3,9,1,1,43.34,84.82,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 43.3
1447615455,MEDICAL_CLAIM,4,3,75.0,0,2,5,1,1,42.66,84.61,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 75.0% flagged records (Threshold: 10%); High average claim risk score of 42.7
1942518550,MEDICAL_CLAIM,7,5,71.43,1,2,8,1,1,38.22,100.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 71.4% flagged records (Threshold: 10%); High average claim risk score of 38.2
1295145191,MEDICAL_CLAIM,6,4,66.67,0,2,7,1,1,33.04,78.81,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 66.7% flagged records (Threshold: 10%)
1417342163,MEDICAL_CLAIM,7,3,42.86,1,2,3,1,1,26.28,84.99,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 42.9% flagged records (Threshold: 10%)
1669840633,MEDICAL_CLAIM,12,7,58.33,0,4,7,1,1,25.58,79.23,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 58.3% flagged records (Threshold: 10%)
1416354126,PHARMACY_CLAIM,1,1,100.0,1,1,2,0,1,100.0,100.0,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 100.0; High claim denial/rejection rate of 100.0%
1541564391,PHARMACY_CLAIM,1,1,100.0,1,1,3,0,1,100.0,100.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 100.0
1870248593,PHARMACY_CLAIM,1,1,100.0,1,1,2,0,1,94.95,94.95,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 95.0; High claim denial/rejection rate of 100.0%
1205839164,MEDICAL_CLAIM,1,1,100.0,1,1,1,0,1,89.87,89.87,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 89.9
1184379255,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,84.68,84.68,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 84.7; High claim denial/rejection rate of 100.0%
