Risk_Factor,Record_Count,Percentage,Record_Types_Affected,Severity_Importance
ML Anomaly,201,2.01,MEDICAL_CLAIM; PHARMACY_CLAIM; PRIOR_AUTH,Medium
Statistical Outlier,3474,34.74,MEDICAL_CLAIM; PHARMACY_CLAIM; PRIOR_AUTH,Medium
Rule-Based Anomaly,4482,44.82,MEDICAL_CLAIM; PHARMACY_CLAIM; PRIOR_AUTH,High
Level 3 Consensus,99,0.99,MEDICAL_CLAIM; PHARMACY_CLAIM; PRIOR_AUTH,Critical
Level 2 Consensus,1637,16.37,MEDICAL_CLAIM; PHARMACY_CLAIM; PRIOR_AUTH,High
High Severity Rule Violation,2910,29.1,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Multiple Rule Violations,246,2.46,MEDICAL_CLAIM; PHARMACY_CLAIM,High
Rule Violation: R_DATE_001,2745,27.45,MEDICAL_CLAIM,Critical
Rule Violation: R_SLA_001,1587,15.87,PHARMACY_CLAIM; PRIOR_AUTH,Critical
Rule Violation: R_DATE_003,120,1.2,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_005,110,1.1,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_007,104,1.04,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_DATE_002,101,1.01,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_002,29,0.29,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_001,23,0.23,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_006,23,0.23,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
Rule Violation: R_FIN_003,22,0.22,MEDICAL_CLAIM; PHARMACY_CLAIM,Critical
