Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,Consensus_Level_2_Count,Consensus_Level_3_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors
1215210273,MEDICAL_CLAIM,554,512,92.42,53,554,300,284,30,210,13,44.33,93.71,0.91,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,13 critical-risk records; 210 high-risk records; 92.4% flagged records; Average claim risk score = 44.3
1609820125,MEDICAL_CLAIM,44,25,56.82,11,26,28,6,8,8,9,38.85,79.93,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,9 critical-risk records; 8 high-risk records; 56.8% flagged records; Average claim risk score = 38.8
1841366812,MEDICAL_CLAIM,113,100,88.5,0,75,85,73,0,36,4,45.24,88.98,0.89,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 critical-risk records; 36 high-risk records; 88.5% flagged records; Average claim risk score = 45.2
1386952034,MEDICAL_CLAIM,145,104,71.72,8,56,92,73,5,36,2,38.51,80.4,1.39,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 36 high-risk records; 71.7% flagged records; Average claim risk score = 38.5
1225528151,MEDICAL_CLAIM,12,6,50.0,0,6,7,2,0,2,2,32.76,75.49,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 2 high-risk records; 50.0% flagged records
1972196541,MEDICAL_CLAIM,12,9,75.0,1,8,7,2,1,1,2,37.36,79.99,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 critical-risk records; 1 high-risk records; 75.0% flagged records; Average claim risk score = 37.4
1689688988,MEDICAL_CLAIM,28,28,100.0,0,27,20,17,0,16,1,50.22,75.48,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 16 high-risk records; 100.0% flagged records; Average claim risk score = 50.2
1558308825,MEDICAL_CLAIM,111,84,75.68,3,43,67,63,2,10,1,35.36,80.99,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 10 high-risk records; 75.7% flagged records; Average claim risk score = 35.4
1598053472,MEDICAL_CLAIM,17,15,88.24,0,17,21,15,0,7,1,50.61,80.39,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 7 high-risk records; 88.2% flagged records; Average claim risk score = 50.6
1225684368,MEDICAL_CLAIM,16,16,100.0,0,16,17,13,1,7,1,50.25,80.65,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 7 high-risk records; 100.0% flagged records; Average claim risk score = 50.2
1164451613,MEDICAL_CLAIM,21,18,85.71,0,19,19,17,0,6,1,42.34,75.15,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 6 high-risk records; 85.7% flagged records; Average claim risk score = 42.3
