column,unique_count,value,count,percentage
Provider_State,10,FL,232,11.600000000000001
Provider_State,10,WA,226,11.3
Provider_State,10,GA,204,10.2
Provider_State,10,NY,203,10.15
Provider_State,10,AL,196,9.8
Provider_State,10,CA,196,9.8
Provider_State,10,PA,195,9.75
Provider_State,10,AZ,195,9.75
Provider_State,10,TX,190,9.5
Provider_State,10,OH,163,8.15
Status,3,APPROVED,1255,62.74999999999999
Status,3,DENIED,518,25.900000000000002
Status,3,PENDING,227,11.35
Urgency_Flag,2,STANDARD,1585,79.25
Urgency_Flag,2,EXPEDITED,415,20.75
Auth_Required_Flag,1,Y,2000,100.0
SLA_Breach_Flag,3,N,1343,67.15
SLA_Breach_Flag,3,Y,430,21.5
SLA_Breach_Flag,3,UNKNOWN_NO_DATE,227,11.35
