column,missing_count,missing_percentage
Record_ID,0,0.0
Record_Type,0,0.0
BENE_ID,24,1.2
Provider_NPI,21,1.05
Provider_State,0,0.0
Service_Date,1971,98.55000000000001
Service_End_Date,2000,100.0
Submission_Date,0,0.0
Processed_Date,227,11.35
Decision_Date,227,11.35
Status,0,0.0
Denial_Reason_Code,1503,75.14999999999999
Diagnosis_Code,2000,100.0
Procedure_Code,0,0.0
NDC_Code,2000,100.0
Drug_Name,2000,100.0
Days_Supply,2000,100.0
Quantity_Dispensed,2000,100.0
Billed_Amount,2000,100.0
Allowed_Amount,2000,100.0
Paid_Amount,2000,100.0
Patient_Responsibility,2000,100.0
Urgency_Flag,0,0.0
Auth_Required_Flag,0,0.0
Auth_Linked_ID,2000,100.0
Batch_ID,0,0.0
Source_System,0,0.0
Ingestion_Timestamp,0,0.0
Retry_Count,0,0.0
Processing_Latency_Days,227,11.35
SLA_Target_Days,0,0.0
SLA_Breach_Flag,0,0.0
Batch_Date,0,0.0
Provider_Total_Records,21,1.05
Provider_Denial_Rate,21,1.05
Batch_Volume,0,0.0
Rolling_7D_Avg_Volume,0,0.0
Volume_Vs_Trend_Ratio,0,0.0
Batch_SLA_Breach_Rate,0,0.0
Rolling_7D_Avg_SLA_Breach_Rate,0,0.0
SLA_Breach_Rate_Vs_Trend_Diff,0,0.0
Beneficiary_Record_Count,24,1.2
High_Frequency_Beneficiary_Flag,0,0.0
Missing_Required_Auth_Link,0,0.0
Days_Since_Prev_Batch,5,0.25
Pipeline_Gap_Flag,0,0.0
Submission_Day_Of_Week,0,0.0
DOW_Avg_SLA_Breach_Rate,0,0.0
Record_SLA_Breach_Numeric,0,0.0
SLA_Breach_Vs_DOW_Norm,0,0.0
BENE_ID_MISSING_FLAG,0,0.0
Provider_NPI_MISSING_FLAG,0,0.0
Auth_Linked_ID_MISSING_FLAG,0,0.0
