Provider_NPI,authorization_count,approval_count,denial_count,pending_count,approval_rate,denial_rate,average_processing_latency,SLA_breach_rate,average_retry_count
1000191866.0,1,0,1,0,0.0,1.0,5.0,0.0,0.0
1001071453.0,1,1,0,0,1.0,0.0,0.0,0.0,1.0
1001678292.0,1,1,0,0,1.0,0.0,0.0,0.0,0.0
1001708385.0,1,1,0,0,1.0,0.0,23.0,1.0,2.0
1002102734.0,1,1,0,0,1.0,0.0,3.0,0.0,2.0
1003563577.0,1,1,0,0,1.0,0.0,18.0,1.0,0.0
1003612450.0,1,1,0,0,1.0,0.0,8.0,0.0,0.0
1003861311.0,1,1,0,0,1.0,0.0,4.0,0.0,3.0
1004169542.0,1,0,1,0,0.0,1.0,4.0,0.0,0.0
1004213002.0,1,1,0,0,1.0,0.0,6.0,0.0,1.0
1004414098.0,1,0,0,1,0.0,0.0,,0.0,1.0
1004679101.0,1,0,1,0,0.0,1.0,10.0,0.0,0.0
1005061108.0,1,0,0,1,0.0,0.0,,0.0,1.0
1005507428.0,1,1,0,0,1.0,0.0,3.0,0.0,0.0
1006391819.0,1,1,0,0,1.0,0.0,11.0,0.0,0.0
1006625345.0,1,1,0,0,1.0,0.0,13.0,0.0,0.0
1006791202.0,1,1,0,0,1.0,0.0,2.0,0.0,0.0
1007365320.0,1,0,1,0,0.0,1.0,8.0,0.0,1.0
1007445083.0,1,0,0,1,0.0,0.0,,0.0,3.0
1007496608.0,1,0,1,0,0.0,1.0,4.0,0.0,0.0
1007995408.0,1,1,0,0,1.0,0.0,5.0,0.0,3.0
1008177499.0,1,1,0,0,1.0,0.0,5.0,0.0,0.0
1008350193.0,1,1,0,0,1.0,0.0,7.0,0.0,0.0
1008853602.0,1,1,0,0,1.0,0.0,12.0,0.0,0.0
1009497475.0,1,1,0,0,1.0,0.0,16.0,1.0,1.0
1009664146.0,1,1,0,0,1.0,0.0,5.0,0.0,0.0
1010692368.0,1,1,0,0,1.0,0.0,10.0,0.0,3.0
1011132243.0,1,1,0,0,1.0,0.0,12.0,0.0,1.0
1012103352.0,1,0,1,0,0.0,1.0,2.0,0.0,1.0
1012405528.0,1,1,0,0,1.0,0.0,15.0,1.0,3.0
1013027877.0,1,1,0,0,1.0,0.0,5.0,1.0,2.0
1013331110.0,1,1,0,0,1.0,0.0,4.0,0.0,2.0
1013608153.0,1,1,0,0,1.0,0.0,8.0,0.0,0.0
1014258290.0,1,0,1,0,0.0,1.0,2.0,0.0,1.0
1014428811.0,1,1,0,0,1.0,0.0,6.0,0.0,3.0
1015112107.0,1,1,0,0,1.0,0.0,9.0,0.0,1.0
1015151318.0,1,1,0,0,1.0,0.0,14.0,0.0,0.0
1015169781.0,1,1,0,0,1.0,0.0,3.0,0.0,0.0
1015480675.0,1,1,0,0,1.0,0.0,16.0,1.0,1.0
1015508106.0,1,0,0,1,0.0,0.0,,0.0,1.0
1015670325.0,1,0,0,1,0.0,0.0,,0.0,2.0
1016282511.0,1,0,1,0,0.0,1.0,5.0,0.0,0.0
1016496881.0,1,0,0,1,0.0,0.0,,0.0,0.0
1018120162.0,1,1,0,0,1.0,0.0,4.0,1.0,0.0
1018291100.0,1,0,0,1,0.0,0.0,,0.0,0.0
1018614702.0,1,1,0,0,1.0,0.0,7.0,0.0,2.0
1018784354.0,1,0,0,1,0.0,0.0,,0.0,3.0
1019749474.0,1,1,0,0,1.0,0.0,8.0,1.0,2.0
