column,missing_count,missing_percentage
Record_ID,0,0.0
Record_Type,0,0.0
BENE_ID,72,1.4376996805111821
Provider_NPI,18,0.35942492012779553
Provider_State,0,0.0
Service_Date,0,0.0
Service_End_Date,0,0.0
Submission_Date,0,0.0
Processed_Date,40,0.7987220447284344
Decision_Date,5008,100.0
Status,0,0.0
Denial_Reason_Code,5008,100.0
Diagnosis_Code,0,0.0
Procedure_Code,5008,100.0
NDC_Code,5008,100.0
Drug_Name,5008,100.0
Days_Supply,5008,100.0
Quantity_Dispensed,5008,100.0
Billed_Amount,0,0.0
Allowed_Amount,0,0.0
Paid_Amount,0,0.0
Patient_Responsibility,0,0.0
Urgency_Flag,5008,100.0
Auth_Required_Flag,0,0.0
Auth_Linked_ID,5008,100.0
Batch_ID,0,0.0
Source_System,0,0.0
Ingestion_Timestamp,0,0.0
Retry_Count,0,0.0
Processing_Latency_Days,40,0.7987220447284344
SLA_Target_Days,0,0.0
SLA_Breach_Flag,0,0.0
Batch_Date,0,0.0
Provider_Total_Records,18,0.35942492012779553
Provider_Denial_Rate,18,0.35942492012779553
Batch_Volume,0,0.0
Rolling_7D_Avg_Volume,0,0.0
Volume_Vs_Trend_Ratio,0,0.0
Batch_SLA_Breach_Rate,0,0.0
Rolling_7D_Avg_SLA_Breach_Rate,0,0.0
SLA_Breach_Rate_Vs_Trend_Diff,0,0.0
Beneficiary_Record_Count,72,1.4376996805111821
High_Frequency_Beneficiary_Flag,0,0.0
Missing_Required_Auth_Link,0,0.0
Days_Since_Prev_Batch,3,0.05990415335463259
Pipeline_Gap_Flag,0,0.0
Submission_Day_Of_Week,0,0.0
DOW_Avg_SLA_Breach_Rate,0,0.0
Record_SLA_Breach_Numeric,0,0.0
SLA_Breach_Vs_DOW_Norm,0,0.0
BENE_ID_MISSING_FLAG,0,0.0
Provider_NPI_MISSING_FLAG,0,0.0
