Provider_NPI,total_claims,total_billed_amount,average_billed_amount,median_billed_amount,total_allowed_amount,average_allowed_amount,total_paid_amount,average_paid_amount,average_processing_latency,average_retry_count,denial_count,denial_rate,SLA_breach_count,SLA_breach_rate
1003101346.0,1,1443.05,1443.05,1443.05,1154.44,1154.44,1154.44,1154.44,3.0,2.0,0,0.0,0,0.0
1003270430.0,6,4895.34,815.89,762.395,3654.11,609.0183333333333,4765.62,794.27,0.0,1.0,0,0.0,0,0.0
1003293465.0,4,6769.03,1692.2575,1806.235,5045.71,1261.4275,5045.71,1261.4275,1.5,1.25,0,0.0,0,0.0
1003397878.0,2,1523.42,761.71,761.71,1212.83,606.415,1212.83,606.415,-1.0,1.0,0,0.0,0,0.0
1003437344.0,4,17777.420000000002,4444.3550000000005,1360.35,14221.9,3555.475,-8622.78,-2155.695,-1.25,0.5,0,0.0,0,0.0
1003804725.0,1,704.2,704.2,704.2,0.0,0.0,0.0,0.0,-1.0,3.0,0,0.0,0,0.0
1003858176.0,1,780.27,780.27,780.27,624.21,624.21,624.21,624.21,2.0,1.0,0,0.0,0,0.0
1003866732.0,2,2431.8199999999997,1215.9099999999999,1215.9099999999999,1945.4499999999998,972.7249999999999,1945.4499999999998,972.7249999999999,-4.0,2.0,0,0.0,0,0.0
1003866740.0,10,7599.679999999999,759.968,748.44,6079.79,607.979,6079.79,607.979,-2.6,1.2,1,0.1,0,0.0
1013002765.0,1,226.25,226.25,226.25,0.0,0.0,0.0,0.0,-6.0,1.0,0,0.0,0,0.0
1013088756.0,2,1442.84,721.42,721.42,1154.27,577.135,1154.27,577.135,-1.0,1.5,0,0.0,0,0.0
1013105568.0,4,5253.37,1313.3425,1514.705,3382.95,845.7375,3382.95,845.7375,-6.75,1.0,1,0.25,0,0.0
1013162148.0,1,1053.94,1053.94,1053.94,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0,0.0
1013277060.0,5,7574.71,1514.942,1201.65,5875.21,1175.042,5875.21,1175.042,-1.4,0.4,0,0.0,0,0.0
1013334002.0,5,6420.82,1284.164,1337.16,4742.79,948.558,4742.79,948.558,-1.6,0.2,0,0.0,0,0.0
1013345149.0,11,14852.35,1350.2136363636364,1330.86,12203.32,1109.3927272727271,12203.32,1109.3927272727271,-0.7272727272727273,0.6363636363636364,0,0.0,0,0.0
1013355726.0,10,15051.94,1505.194,1241.085,10436.24,1043.624,10436.24,1043.624,-0.7,1.0,0,0.0,0,0.0
1013436260.0,1,809.28,809.28,809.28,572.96,572.96,572.96,572.96,-6.0,2.0,0,0.0,0,0.0
1013588466.0,1,2670.57,2670.57,2670.57,2136.46,2136.46,2136.46,2136.46,0.0,0.0,0,0.0,0,0.0
1013908201.0,3,6527.639999999999,2175.8799999999997,2248.21,5222.12,1740.7066666666667,5222.12,1740.7066666666667,-1.0,0.0,0,0.0,0,0.0
1013933944.0,1,1398.92,1398.92,1398.92,1119.14,1119.14,1119.14,1119.14,-1.0,0.0,0,0.0,0,0.0
1013944479.0,3,4882.09,1627.3633333333335,1504.13,3724.44,1241.48,3724.44,1241.48,-1.0,1.3333333333333333,0,0.0,0,0.0
1013951706.0,1,859.75,859.75,859.75,687.8,687.8,687.8,687.8,2.0,2.0,0,0.0,0,0.0
1013995133.0,13,9757.19,750.553076923077,723.14,7805.599999999999,600.4307692307692,7805.599999999999,600.4307692307692,0.15384615384615385,0.38461538461538464,0,0.0,0,0.0
1013997691.0,1,989.36,989.36,989.36,791.48,791.48,791.48,791.48,6.0,0.0,0,0.0,0,0.0
1023009339.0,2,1918.15,959.075,959.075,1918.15,959.075,1918.15,959.075,0.5,2.0,0,0.0,0,0.0
1023062098.0,1,295.28,295.28,295.28,236.22,236.22,236.22,236.22,-6.0,3.0,0,0.0,0,0.0
1023177250.0,1,13043.23,13043.23,13043.23,10434.59,10434.59,10434.59,10434.59,-3.0,0.0,0,0.0,0,0.0
1023191467.0,3,11394.53,3798.1766666666667,833.28,11010.67,3670.2233333333334,11010.67,3670.2233333333334,0.6666666666666666,1.0,0,0.0,0,0.0
1023240520.0,1,496.28,496.28,496.28,397.02,397.02,397.02,397.02,2.0,0.0,0,0.0,0,0.0
1023271855.0,3,6344.75,2114.9166666666665,2127.08,4569.93,1523.3100000000002,4569.93,1523.3100000000002,0.6666666666666666,0.3333333333333333,0,0.0,0,0.0
1023284924.0,1,819.04,819.04,819.04,655.22,655.22,655.22,655.22,0.0,0.0,0,0.0,0,0.0
1023328002.0,2,10660.18,5330.09,5330.09,8528.130000000001,4264.0650000000005,8528.130000000001,4264.0650000000005,0.0,1.0,0,0.0,0,0.0
1023351913.0,2,2788.84,1394.42,1394.42,2231.0699999999997,1115.5349999999999,2231.0699999999997,1115.5349999999999,-3.0,1.0,0,0.0,0,0.0
1023432424.0,1,1137.2,1137.2,1137.2,725.09,725.09,725.09,725.09,5.0,0.0,0,0.0,0,0.0
1023474244.0,2,3635.0,1817.5,1817.5,2778.71,1389.355,2778.71,1389.355,1.0,0.0,0,0.0,0,0.0
1023560331.0,1,746.01,746.01,746.01,596.81,596.81,596.81,596.81,-8.0,0.0,0,0.0,0,0.0
1023603024.0,4,3309.75,827.4375,785.27,2722.03,680.5075,2722.03,680.5075,-1.25,1.5,0,0.0,0,0.0
1023629425.0,1,727.6,727.6,727.6,727.6,727.6,727.6,727.6,2.0,1.0,0,0.0,0,0.0
1023663879.0,2,2002.76,1001.38,1001.38,1417.29,708.645,1417.29,708.645,-5.0,1.5,0,0.0,0,0.0
1023668183.0,1,392.91,392.91,392.91,314.34,314.34,314.34,314.34,-2.0,3.0,0,0.0,0,0.0
1023671740.0,7,56262.1100939033,8037.4442991290425,998.95,6794.82,970.6885714285714,6794.82,970.6885714285714,-3.0,0.42857142857142855,0,0.0,0,0.0
1033166095.0,2,2806.37,1403.185,1403.185,1872.31,936.155,1872.31,936.155,0.0,1.5,0,0.0,0,0.0
1033210166.0,1,1139.72,1139.72,1139.72,911.78,911.78,911.78,911.78,3.0,0.0,0,0.0,0,0.0
1033214416.0,13,19551.23,1503.940769230769,1420.79,15895.15,1222.7038461538461,15895.15,1222.7038461538461,-0.8333333333333334,1.2307692307692308,0,0.0,0,0.0
1033218565.0,1,733.64,733.64,733.64,400.51,400.51,400.51,400.51,1.0,0.0,0,0.0,0,0.0
1033284666.0,1,1099.49,1099.49,1099.49,879.6,879.6,879.6,879.6,-2.0,0.0,0,0.0,0,0.0
1033298757.0,3,4079.46,1359.82,1316.55,2704.36,901.4533333333334,2704.36,901.4533333333334,-1.3333333333333333,1.0,0,0.0,0,0.0
1033304373.0,1,1408.91,1408.91,1408.91,1127.13,1127.13,1127.13,1127.13,5.0,1.0,0,0.0,0,0.0
1033321989.0,3,5131.15,1710.3833333333332,1848.64,3554.1,1184.7,3554.1,1184.7,-1.6666666666666667,0.0,0,0.0,0,0.0
1033359468.0,2,11574.61,5787.305,5787.305,11376.12,5688.06,11376.12,5688.06,-4.5,3.0,0,0.0,0,0.0
1033400205.0,1,1693.37,1693.37,1693.37,1693.37,1693.37,1693.37,1693.37,2.0,0.0,0,0.0,0,0.0
1033428214.0,1,1716.93,1716.93,1716.93,1188.46,1188.46,1188.46,1188.46,6.0,2.0,0,0.0,0,0.0
1033514302.0,2,2319.07,1159.535,1159.535,2081.28,1040.64,2081.28,1040.64,-0.5,1.5,0,0.0,0,0.0
1033573183.0,2,1914.1,957.05,957.05,1167.49,583.745,1167.49,583.745,1.5,0.5,0,0.0,0,0.0
1033579412.0,2,2365.65,1182.825,1182.825,0.0,0.0,0.0,0.0,-3.0,1.0,0,0.0,0,0.0
1033605613.0,2,4619.780000000001,2309.8900000000003,2309.8900000000003,2130.88,1065.44,2130.88,1065.44,0.0,3.0,0,0.0,0,0.0
1033618616.0,1,817.73,817.73,817.73,654.18,654.18,654.18,654.18,2.0,0.0,0,0.0,0,0.0
1033619804.0,1,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1.0,0.0,0,0.0,0,0.0
1033756861.0,3,3278.18,1092.7266666666667,851.0,2371.79,790.5966666666667,2371.79,790.5966666666667,1.0,1.3333333333333333,0,0.0,0,0.0
1043263080.0,1,789.1,789.1,789.1,759.1,759.1,759.1,759.1,0.0,2.0,0,0.0,0,0.0
1043263221.0,1,1618.48,1618.48,1618.48,1588.48,1588.48,1588.48,1588.48,-2.0,0.0,0,0.0,0,0.0
1043299001.0,1,573.98,573.98,573.98,459.18,459.18,459.18,459.18,-4.0,0.0,0,0.0,0,0.0
1043307580.0,2,2187.4700000000003,1093.7350000000001,1093.7350000000001,1749.98,874.99,1749.98,874.99,-6.0,1.5,0,0.0,0,0.0
1043315286.0,3,3770.15,1256.7166666666667,1225.73,3016.1,1005.3666666666667,1707.74,569.2466666666667,-0.6666666666666666,0.3333333333333333,0,0.0,0,0.0
1043389398.0,1,1067.41,1067.41,1067.41,853.92,853.92,853.92,853.92,1.0,0.0,0,0.0,0,0.0
1043510241.0,4,5799.2,1449.8,1488.205,4639.37,1159.8425,4639.37,1159.8425,0.0,1.0,0,0.0,0,0.0
1043512023.0,1,912.98,912.98,912.98,730.38,730.38,730.38,730.38,0.0,0.0,0,0.0,0,0.0
1043790983.0,1,1700.38,1700.38,1700.38,1173.9,1173.9,1173.9,1173.9,2.0,0.0,0,0.0,0,0.0
1043796733.0,2,3265.87,1632.935,1632.935,2612.68,1306.34,2612.68,1306.34,-8.0,1.5,0,0.0,0,0.0
1053311373.0,1,1053.94,1053.94,1053.94,843.15,843.15,843.15,843.15,-1.0,3.0,0,0.0,0,0.0
1053326751.0,2,3435.08,1717.54,1717.54,2564.9700000000003,1282.4850000000001,-759.3700000000001,-379.68500000000006,-1.0,0.0,0,0.0,0,0.0
1053481630.0,1,119.05,119.05,119.05,0.0,0.0,0.0,0.0,2.0,3.0,0,0.0,0,0.0
1053482273.0,51,50628.45,992.7147058823529,932.56,32208.15,631.5323529411766,30535.85,598.7421568627451,-2.22,0.7058823529411765,0,0.0,0,0.0
1053582098.0,3,1904.22,634.74,583.2,1523.3799999999999,507.7933333333333,1523.3799999999999,507.7933333333333,0.3333333333333333,1.0,0,0.0,0,0.0
1053637249.0,1,1330.86,1330.86,1330.86,1064.69,1064.69,1064.69,1064.69,-2.0,0.0,0,0.0,0,0.0
1053780734.0,1,2085.17,2085.17,2085.17,1668.14,1668.14,1668.14,1668.14,3.0,0.0,0,0.0,0,0.0
1053789511.0,1,1517.56,1517.56,1517.56,1214.05,1214.05,1214.05,1214.05,-1.0,0.0,0,0.0,0,0.0
1053839795.0,1,10159.86,10159.86,10159.86,8127.89,8127.89,8127.89,8127.89,-3.0,3.0,0,0.0,0,0.0
1053853234.0,1,6258.47,6258.47,6258.47,5006.77,5006.77,5006.77,5006.77,-2.0,2.0,0,0.0,0,0.0
1053980110.0,1,994.99,994.99,994.99,614.77,614.77,614.77,614.77,-1.0,0.0,0,0.0,0,0.0
1063411874.0,1,1199.19,1199.19,1199.19,776.12,776.12,776.12,776.12,-2.0,2.0,0,0.0,0,0.0
1063422756.0,1,708.9,708.9,708.9,383.18,383.18,383.18,383.18,1.0,0.0,0,0.0,0,0.0
1063433720.0,1,1270.89,1270.89,1270.89,1016.72,1016.72,1016.72,1016.72,-1.0,2.0,0,0.0,0,0.0
1063438133.0,1,1284.76,1284.76,1284.76,1027.8,1027.8,1027.8,1027.8,-3.0,0.0,0,0.0,0,0.0
1063462976.0,2,1690.15,845.075,845.075,982.5,491.25,982.5,491.25,-3.0,1.0,0,0.0,0,0.0
1063617744.0,3,3323.46,1107.82,1325.25,2235.87,745.29,2235.87,745.29,-4.666666666666667,1.0,0,0.0,0,0.0
1063654341.0,2,2586.48,1293.24,1293.24,2065.04,1032.52,2065.04,1032.52,-1.0,0.0,0,0.0,0,0.0
1063668473.0,4,7772.889999999999,1943.2224999999999,1620.445,6218.33,1554.5825,6218.33,1554.5825,0.25,2.25,0,0.0,0,0.0
1063683332.0,1,987.0,987.0,987.0,789.6,789.6,789.6,789.6,6.0,0.0,0,0.0,0,0.0
1063723617.0,3,3299.5099999999998,1099.8366666666666,950.81,2639.5899999999997,879.8633333333332,2639.5899999999997,879.8633333333332,-1.0,1.0,0,0.0,0,0.0
1073091328.0,4,53366.64,13341.66,16338.685000000001,42506.95,10626.7375,42506.95,10626.7375,0.0,0.0,0,0.0,0,0.0
1073144028.0,1,1632.05,1632.05,1632.05,1305.64,1305.64,1305.64,1305.64,2.0,0.0,0,0.0,0,0.0
1073192985.0,3,3151.91,1050.6366666666665,963.64,2335.12,778.3733333333333,2335.12,778.3733333333333,-4.0,1.0,0,0.0,0,0.0
1073547154.0,2,2447.99,1223.995,1223.995,1958.4099999999999,979.2049999999999,1958.4099999999999,979.2049999999999,0.5,1.5,0,0.0,0,0.0
1073552022.0,18,17498.74,972.1522222222223,769.92,13674.86,759.7144444444444,13674.86,759.7144444444444,1.2222222222222223,1.1666666666666667,0,0.0,0,0.0
1073576740.0,1,1001.68,1001.68,1001.68,801.35,801.35,801.35,801.35,-3.0,0.0,0,0.0,0,0.0
1073583472.0,17,20886.13,1228.5958823529413,1150.09,17358.58,1021.0929411764707,17358.58,1021.0929411764707,-1.4705882352941178,0.7058823529411765,0,0.0,0,0.0
1073740098.0,1,1931.88,1931.88,1931.88,1363.3,1363.3,1363.3,1363.3,-3.0,3.0,0,0.0,0,0.0
1073802492.0,1,778.36,778.36,778.36,613.56,613.56,613.56,613.56,2.0,0.0,0,0.0,0,0.0
1083009997.0,2,2273.5699999999997,1136.7849999999999,1136.7849999999999,1446.08,723.04,1446.08,723.04,0.0,0.0,0,0.0,0,0.0
1083086359.0,2,1989.47,994.735,994.735,1218.78,609.39,1218.78,609.39,0.5,1.5,0,0.0,0,0.0
1083145981.0,7,7152.62,1021.8028571428571,963.64,5722.08,817.4399999999999,5722.08,817.4399999999999,-4.714285714285714,0.8571428571428571,0,0.0,0,0.0
1083183180.0,2,1179.42,589.71,589.71,943.54,471.77,943.54,471.77,-1.5,2.5,0,0.0,0,0.0
1083606495.0,1,1199.19,1199.19,1199.19,772.95,772.95,772.95,772.95,4.0,0.0,0,0.0,0,0.0
1083629661.0,1,1029.87,1029.87,1029.87,823.89,823.89,823.89,823.89,2.0,0.0,0,0.0,0,0.0
1083685986.0,1,2118.28,2118.28,2118.28,1694.63,1694.63,1694.63,1694.63,0.0,0.0,0,0.0,0,0.0
1083860845.0,3,3423.1499999999996,1141.05,1261.24,1729.54,576.5133333333333,1729.54,576.5133333333333,-6.0,0.0,0,0.0,0,0.0
1083953442.0,5,23988.37,4797.674,1137.83,19190.76,3838.1519999999996,19190.76,3838.1519999999996,-2.6,1.8,0,0.0,0,0.0
1083959472.0,1,1196.93,1196.93,1196.93,771.16,771.16,771.16,771.16,-6.0,0.0,0,0.0,0,0.0
1083984587.0,1,1056.4,1056.4,1056.4,845.12,845.12,845.12,845.12,-3.0,0.0,0,0.0,0,0.0
1093026619.0,1,1659.17,1659.17,1659.17,1327.33,1327.33,1327.33,1327.33,4.0,0.0,0,0.0,0,0.0
1093054447.0,1,1241.69,1241.69,1241.69,993.36,993.36,993.36,993.36,5.0,0.0,0,0.0,0,0.0
1093259681.0,1,811.1,811.1,811.1,811.1,811.1,811.1,811.1,3.0,2.0,0,0.0,0,0.0
1093271579.0,7,8728.91,1246.9871428571428,1198.01,6438.3099999999995,919.7585714285714,6438.3099999999995,919.7585714285714,0.5714285714285714,0.2857142857142857,0,0.0,0,0.0
1093288797.0,1,926.5,926.5,926.5,554.8,554.8,554.8,554.8,-2.0,0.0,0,0.0,0,0.0
1093387524.0,1,9114.75,9114.75,9114.75,7291.8,7291.8,7291.8,7291.8,1.0,1.0,0,0.0,0,0.0
1093702177.0,2,250.77999999999997,125.38999999999999,125.38999999999999,2695.69,1347.845,2695.69,1347.845,0.5,3.0,0,0.0,0,0.0
1093703639.0,4,3037.83,759.4575,677.6949999999999,1792.87,448.2175,1792.87,448.2175,0.5,0.75,0,0.0,0,0.0
