NDC_Code,number_of_prescriptions,drug_name,average_billed_amount,median_billed_amount,average_paid_amount,average_allowed_amount,average_days_supply,average_quantity_dispensed
00000-000-00,12,HALOPERIDOL,645.3216666666666,517.6899999999999,515.4775,515.4775,47.5,53.416666666666664
10000-670-68,1,CAPLYTA,211.6,211.6,145.01,145.01,30.0,25.0
10006-531-87,1,CAPITAL W-CODEINE,221.23,221.23,190.95,190.95,30.0,24.0
10015-548-25,1,MORGIDOX,1040.44,1040.44,813.31,813.31,30.0,42.0
10018-123-63,1,PENICILLIN G PROCAINE,301.7,301.7,201.52,201.52,30.0,32.0
10055-666-95,1,HYCET,1081.05,1081.05,826.49,826.49,60.0,88.0
10063-594-36,1,CEFACLOR ER,153.88,153.88,124.35,124.35,60.0,68.0
10083-827-65,1,FLAGYL ER,474.08,474.08,439.93,439.93,90.0,125.0
10092-238-62,1,ZITHROMAX,507.07,507.07,1241.1,345.08,30.0,32.0
10098-121-18,1,NUCYNTA ER,987.07,987.07,706.8,706.8,90.0,99.0
10141-118-50,1,TARGADOX,647.06,647.06,589.67,589.67,30.0,30.0
10180-166-95,1,CIPROFLOXACIN-D5W,611.55,611.55,426.9,426.9,90.0,104.0
10188-714-15,1,XODOL 7.5-300,253.27,253.27,223.05,223.05,30.0,24.0
10279-510-44,1,VANCOMYCIN-D5W,252.25,252.25,221.51,221.51,30.0,42.0
10387-968-76,1,MONDOXYNE NL,1078.34,1078.34,846.39,846.39,60.0,76.0
10441-840-87,1,TRAMADOL HCL ER,2645.4,2645.4,1802.3,1802.3,90.0,110.0
10451-941-74,1,VRAYLAR,808.94,808.94,666.42,666.42,30.0,38.0
10476-640-60,1,BUPRENORPHINE HCL,41.23,41.23,28.13,28.13,30.0,28.0
10487-305-14,1,ZYPREXA ZYDIS,168.27,168.27,149.12,149.12,30.0,30.0
10498-463-19,1,CLARITHROMYCIN ER,63.43,63.43,59.52,59.52,30.0,25.0
10510-454-88,1,CUBICIN RF,240.66,240.66,181.18,181.18,90.0,82.0
10569-741-16,1,VICODIN,1441.99,1441.99,1351.28,1351.28,90.0,74.0
10580-410-44,1,PALIPERIDONE ER,851.8,851.8,661.79,661.79,60.0,56.0
10587-627-20,1,SULFATRIM,1292.69,1292.69,848.79,848.79,90.0,91.0
10609-795-15,1,XIMINO,1304.69,1304.69,1091.74,1091.74,90.0,82.0
10642-906-86,1,SUBSYS,1211.36,1211.36,741.53,741.53,90.0,135.0
10760-286-13,1,NITROFURANTOIN MONO-MACRO,631.95,631.95,471.91,471.91,30.0,35.0
10774-691-53,1,VANCOMYCIN,17.77,17.77,14.91,14.91,30.0,32.0
10810-718-90,1,BACTRIM DS,538.37,538.37,414.58,414.58,30.0,44.0
10820-219-10,1,ABILIFY MAINTENA,1938.16,1938.16,1682.59,1682.59,60.0,87.0
10833-860-36,1,TEFLARO,1413.99,1413.99,1127.38,1127.38,60.0,78.0
10838-233-63,1,AMPICILLIN TRIHYDRATE,536.92,536.92,404.25,404.25,90.0,82.0
10841-340-20,1,ZEMDRI,1512.87,1512.87,1232.59,1232.59,60.0,69.0
10902-761-19,1,QUETIAPINE FUMARATE,1022.64,1022.64,822.19,822.19,60.0,74.0
10911-792-72,1,RISPERDAL CONSTA,1288.39,1288.39,944.39,944.39,90.0,135.0
10929-267-18,1,E.E.S. 200,565.99,565.99,447.29,447.29,30.0,32.0
10948-573-48,1,DORIBAX,1983.29,1983.29,1432.34,1432.34,60.0,86.0
10993-809-47,1,ZINACEF,303.88,303.88,255.41,255.41,90.0,130.0
11135-534-48,1,OXYCODONE CONCENTRATE,774.83,774.83,580.24,580.24,30.0,38.0
11169-891-10,1,OPANA ER,571.79,571.79,521.41,521.41,30.0,30.0
11193-196-97,1,SYNALGOS-DC,127.32,127.32,94.44,94.44,90.0,100.0
11217-226-43,1,LORCET PLUS,644.36,644.36,509.55,509.55,60.0,54.0
11219-307-98,1,LINEZOLID-0.9% NACL,1721.06,1721.06,1342.85,1342.85,90.0,83.0
11301-262-17,2,CEFOTETAN & DEXTROSE,2017.97,2017.97,1733.4,1733.4,90.0,102.0
11355-875-98,1,TIGECYCLINE,1341.13,1341.13,1119.89,1119.89,60.0,60.0
11372-397-76,1,SUBSYS,253.24,253.24,162.89,162.89,30.0,24.0
11397-484-26,1,PENICILLIN GK-ISO-OSM DEXTROSE,17.06,17.06,15.73,15.73,30.0,43.0
11413-866-63,1,CLINDAMYCIN PEDIATRIC,251.59,251.59,167.05,167.05,30.0,30.0
11441-995-89,1,BELLADONNA-OPIUM,1541.89,1541.89,927.74,927.74,60.0,75.0
11479-184-98,1,DAXBIA,133.73,133.73,106.77,106.77,30.0,28.0
11498-685-36,1,CEFTAZIDIME,497.45,497.45,471.12,471.12,90.0,97.0
11530-300-50,1,CO-GESIC,1027.14,1027.14,935.91,935.91,90.0,81.0
11578-277-25,1,PENICILLIN G PROCAINE,417.61,417.61,381.46,381.46,30.0,27.0
11593-680-32,1,PERPHENAZINE-AMITRIPTYLINE,606.22,606.22,452.95,452.95,30.0,41.0
11633-512-37,1,CODEINE SULFATE,217.2,217.2,171.55,171.55,30.0,44.0
11640-929-91,1,GEODON,136.9,136.9,94.67,94.67,60.0,76.0
11683-983-94,1,XTAMPZA ER,396.61,396.61,367.23,367.23,90.0,110.0
11692-461-64,1,CEFTIBUTEN,204.82,204.82,142.66,142.66,30.0,40.0
11700-214-23,1,VANCOMYCIN HCL,1987.85,1987.85,1740.83,1740.83,90.0,114.0
11721-709-55,2,CO-GESIC,820.88,820.88,655.18,655.18,90.0,115.0
11734-584-24,1,CIPROFLOXACIN ER,374.96,374.96,244.27,244.27,30.0,26.0
11751-681-92,1,DICLOXACILLIN SODIUM,103.24,103.24,88.66,88.66,60.0,62.0
11754-974-26,1,HYDROCODONE-ACETAMINOPHEN,547.9,547.9,341.55,341.55,30.0,37.0
11790-433-16,1,CLARITHROMYCIN ER,665.77,665.77,549.31,549.31,30.0,27.0
11821-251-57,1,CLEOCIN PHOSPHATE IN D5W,443.54,443.54,390.09,390.09,30.0,33.0
11862-925-53,1,AZACTAM,1918.05,1918.05,1705.38,1705.38,60.0,89.0
11905-998-11,1,SUBSYS,343.16,343.16,268.86,268.86,30.0,34.0
11933-787-75,1,MACROBID,597.32,597.32,368.44,368.44,60.0,51.0
12008-412-75,1,MAGNACET,918.6,918.6,653.88,653.88,60.0,80.0
12008-670-79,1,MAGNACET,976.84,976.84,812.47,812.47,90.0,94.0
12028-821-45,1,NUPLAZID,235.64,235.64,171.15,171.15,30.0,29.0
12045-508-96,1,ERYTHROMYCIN ETHYLSUCCINATE,245.03,245.03,180.29,180.29,30.0,27.0
12047-764-22,1,MACROBID,1761.52,1761.52,1432.47,1432.47,60.0,71.0
12054-845-29,1,XODOL 10-300,104.38,104.38,92.44,92.44,30.0,30.0
12081-322-28,1,CO-GESIC,1321.66,1321.66,1228.43,1228.43,60.0,59.0
12096-348-17,1,SOLOSEC,43.12,43.12,39.74,39.74,30.0,38.0
12150-166-61,1,RISPERDAL M-TAB,123.77,123.77,105.03,105.03,30.0,38.0
12150-934-88,1,DOLOPHINE HCL,234.59,234.59,171.9,171.9,30.0,38.0
12202-813-45,1,OXYMORPHONE HCL ER,236.75,236.75,184.94,184.94,30.0,31.0
12206-139-81,1,ORAP,568.2,568.2,435.34,435.34,30.0,38.0
12206-508-46,1,ASENAPINE MALEATE,1865.35,1865.35,1606.23,1606.23,60.0,81.0
12317-772-54,1,MOXIFLOXACIN,304.35,304.35,212.99,212.99,30.0,27.0
12345,7,DORYX MPC,534.7142857142857,525.79,371.2728571428571,371.2728571428571,42.857142857142854,43.57142857142857
12347-204-74,1,AMOXICILLIN-CLAVULANATE POT ER,253.24,253.24,231.02,231.02,60.0,61.0
12356-563-18,1,SECUADO,2356.73,2356.73,1515.89,1515.89,90.0,106.0
12380-556-19,1,ZIPRASIDONE MESYLATE,530.26,530.26,323.04,323.04,90.0,73.0
12401-933-70,1,REXULTI,1254.73,1254.73,820.51,820.51,60.0,56.0
12468-105-15,1,CEFEPIME,1088.21,1088.21,720.36,720.36,90.0,115.0
12468-374-35,1,INVANZ,489.88,489.88,304.25,304.25,30.0,35.0
12474-749-86,1,TYLENOL-CODEINE NO.4,229.6,229.6,195.55,195.55,60.0,87.0
12486-734-43,1,GENTAMICIN SULFATE,41.72,41.72,38.94,38.94,30.0,44.0
12489-715-27,1,MORPHINE SULFATE,813.81,813.81,631.2,631.2,30.0,44.0
12513-701-74,1,DURAGESIC,752.44,752.44,528.59,528.59,30.0,40.0
12531-927-22,1,CEFUROXIME SODIUM,590.52,590.52,490.27,490.27,30.0,39.0
12588-542-60,1,OXYCODONE HCL-IBUPROFEN,257151.103687372,257151.103687372,2122.63,2122.63,90.0,101.0
12597-170-21,1,ACETAMINOPHEN-CODEINE,560.04,560.04,449.91,449.91,30.0,36.0
12651-142-94,1,LATUDA,112.46,112.46,75.45,75.45,30.0,45.0
12662-107-58,1,QUETIAPINE FUMARATE,1157.93,1157.93,815.77,815.77,60.0,54.0
12664-412-97,1,BIAXIN XL,1059.58,1059.58,809.97,809.97,60.0,52.0
12690-106-19,1,CIPROFLOXACIN,512.01,512.01,910.64,407.22,30.0,26.0
12705-383-95,2,ERYPED 200,205.29,205.29,148.35,148.35,30.0,38.0
12755-804-28,1,FURADANTIN,607.05,607.05,383.46,383.46,30.0,40.0
12759-490-38,1,ULTRACET,249.0,249.0,207.1,207.1,30.0,24.0
12841-167-34,1,INVEGA,102.49,102.49,91.75,91.75,30.0,32.0
12868-126-65,1,CEPHALEXIN,2748.43,2748.43,2007.68,2007.68,90.0,119.0
12868-442-16,1,ROXYBOND,463.86,463.86,374.88,374.88,30.0,43.0
12892-612-94,1,ZYPREXA,1117.0,1117.0,1041.57,1041.57,60.0,77.0
12922-894-73,1,FETROJA,607.93,607.93,404.99,404.99,30.0,37.0
12944-118-65,1,TINDAMAX,373.03,373.03,241.74,-241.74,30.0,32.0
12967-190-33,1,OXYMORPHONE HCL ER,1483.61,1483.61,1348.98,1348.98,60.0,77.0
12999-468-85,1,TOBRAMYCIN,1419.83,1419.83,1026.62,1026.62,90.0,79.0
13012-865-38,1,OPANA ER,739.77,739.77,517.65,517.65,30.0,30.0
13092-537-75,1,METHADONE INTENSOL,832.6,832.6,622.08,622.08,30.0,36.0
13111-432-24,1,DEMEROL,835.18,835.18,606.48,606.48,30.0,41.0
13129-668-27,1,CLEOCIN PALMITATE,60.23,60.23,55.0,55.0,30.0,26.0
13129-783-98,1,LORCET,79.42,79.42,75.23,75.23,30.0,42.0
13148-966-32,1,VICOPROFEN,373.88,373.88,314.95,314.95,30.0,44.0
13170-719-47,1,ASCOMP WITH CODEINE,187.75,187.75,136.04,136.04,30.0,25.0
13177-258-58,1,SUPRAX,254.04,254.04,186.98,186.98,30.0,31.0
13191-871-76,1,OXYCODONE HCL-ASPIRIN,339.95,339.95,247.28,247.28,30.0,40.0
13197-273-33,1,VANCOMYCIN,1008.32,1008.32,950.92,950.92,30.0,43.0
13219-357-98,1,SUPRAX,225.47,225.47,204.77,204.77,30.0,25.0
13241-254-21,1,ROCEPHIN,581.84,581.84,545.21,545.21,30.0,29.0
13254-696-18,1,FLUPHENAZINE DECANOATE,907.91,907.91,715.38,715.38,60.0,61.0
13255-828-43,1,CEFTAZIDIME,316.85,316.85,286.5,286.5,60.0,71.0
13260-896-75,1,FIRVANQ,1818.72,1818.72,1153.95,1153.95,60.0,87.0
13263-109-38,1,OFLOXACIN,471.35,471.35,363.47,363.47,90.0,93.0
13281-650-55,1,FORTAZ,585.09,585.09,508.41,508.41,30.0,43.0
13319-140-63,1,PROLATE,121.87,121.87,78.59,78.59,60.0,67.0
13336-756-65,1,TOBRAMYCIN SULFATE IN NS,598.32,598.32,507.02,507.02,30.0,36.0
13363-765-56,1,ACETAMIN-CAFF-DIHYDROCODEINE,1441.86,1441.86,1199.37,1199.37,60.0,68.0
13379-829-62,1,METHADOSE,146.42,146.42,102.32,102.32,30.0,33.0
13417-385-35,1,CEFACLOR,164.8,164.8,146.45,146.45,30.0,42.0
13427-930-88,1,SEPTRA DS,708.05,708.05,482.76,482.76,30.0,35.0
13436-335-46,1,VANCOMYCIN HCL,155.17,155.17,113.23,113.23,60.0,76.0
13439-488-22,1,INVEGA,1584.83,1584.83,1447.08,1447.08,60.0,83.0
13446-895-45,2,METHADOSE,2691.58,2691.58,1760.96,1760.96,90.0,114.0
13480-877-92,1,TYLENOL-CODEINE NO.3,961.29,961.29,667.35,667.35,90.0,95.0
13481-990-96,1,NITROFURANTOIN MONO-MACRO,648.87,648.87,500.37,500.37,30.0,36.0
13482-916-46,1,MERREM,487.3,487.3,383.42,383.42,30.0,26.0
13498-619-18,1,ZITHROMAX TRI-PAK,387.38,387.38,249.61,249.61,30.0,36.0
13608-695-61,1,TREZIX,346.52,346.52,270.38,270.38,60.0,85.0
13637-648-41,1,NAFCILLIN,427.24,427.24,279.69,279.69,30.0,27.0
13651-818-24,1,ENDOCET,48.36,48.36,45.22,45.22,90.0,94.0
13652-800-13,1,NITROFURANTOIN,818.06,818.06,703.53,703.53,90.0,111.0
13683-114-63,1,DICLOXACILLIN SODIUM,1010.27,1010.27,804.76,804.76,30.0,44.0
13719-539-61,1,ARIKAYCE,341.27,341.27,283.09,283.09,90.0,74.0
13738-356-15,1,OXYCODONE HCL-ACETAMINOPHEN,398.78,398.78,246.09,246.09,30.0,36.0
13780-895-75,1,PENTAZOCINE-NALOXONE HCL,215.67,215.67,151.68,151.68,30.0,24.0
13932-976-20,1,XTAMPZA ER,233.61,233.61,188.22,188.22,30.0,36.0
13956-241-83,1,CEFACLOR ER,166.8,166.8,131.49,131.49,30.0,43.0
13967-335-64,1,FOSFOMYCIN TROMETHAMINE,237.62,237.62,184.32,184.32,30.0,25.0
14013-930-26,1,NITROFURANTOIN,311.36,311.36,220.07,220.07,30.0,38.0
14023-101-13,1,CAYSTON,814.2,814.2,710.43,710.43,60.0,56.0
14057-942-24,1,VANCOMYCIN HCL,30.56,30.56,22.48,22.48,30.0,44.0
14072-750-16,1,CLINDAMYCIN HCL,1066.81,1066.81,828.44,828.44,90.0,120.0
14157-557-68,1,RYZOLT,546.44,546.44,424.98,424.98,30.0,45.0
14221-482-38,1,HALOPERIDOL LACTATE,677.22,677.22,466.14,466.14,30.0,43.0
14266-143-25,1,DORIPENEM,1023.52,1023.52,668.28,668.28,30.0,43.0
14292-867-14,2,CUBICIN RF,423.28,423.28,329.27,329.27,60.0,76.0
14297-966-88,1,LOXITANE,1249.08,1249.08,804.57,804.57,60.0,60.0
14308-492-65,1,SEGLENTIS,437.98,437.98,404.56,404.56,30.0,42.0
14338-736-36,1,VABOMERE,64.3,64.3,58.62,58.62,30.0,34.0
14382-928-79,1,SUBSYS,688.7,688.7,459.03,459.03,30.0,41.0
14437-135-17,1,CLARITHROMYCIN,579.7,579.7,502.99,502.99,30.0,32.0
14446-867-13,1,THIORIDAZINE HCL,68.31,68.31,47.21,47.21,30.0,26.0
14510-521-97,1,DURAGESIC,36.78,36.78,23.04,23.04,30.0,38.0
14523-149-94,1,TREZIX,1498.7,1498.7,1124.88,1124.88,90.0,82.0
14525-356-38,1,LEVORPHANOL TARTRATE,953.99,953.99,800.64,800.64,60.0,78.0
14613-520-72,1,UZEDY,2060.26,2060.26,1556.45,1556.45,90.0,124.0
14624-540-76,1,INVEGA SUSTENNA,2435.35,2435.35,1974.32,1974.32,90.0,104.0
14655-102-68,1,SULFADIAZINE,239.95,239.95,212.33,212.33,30.0,40.0
14670-761-57,1,BELLADONNA-OPIUM,752.62,752.62,518.74,518.74,30.0,37.0
14710-806-29,1,VERSACLOZ,741.1,741.1,610.37,610.37,30.0,37.0
14712-161-43,1,E.E.S. 200,351.46,351.46,295.18,295.18,30.0,37.0
14772-562-72,1,ERYTHROCIN STEARATE,260.54,260.54,168.17,168.17,60.0,66.0
14774-617-13,1,HALOPERIDOL LACTATE,906.61,906.61,727.2,727.2,60.0,59.0
14796-766-26,1,CEFUROXIME,682.4,682.4,491.14,491.14,30.0,37.0
14811-402-62,1,COBENFY STARTER PACK,519.53,519.53,360.87,360.87,30.0,39.0
14814-237-54,1,HALOPERIDOL LACTATE,482.37,482.37,408.82,408.82,60.0,49.0
14916-589-30,1,CEDAX,156.14,156.14,119.68,119.68,30.0,25.0
14924-166-76,1,CUBICIN,666.56,666.56,515.86,515.86,60.0,48.0
14940-453-10,1,MEROPENEM,859.5,859.5,815.04,815.04,30.0,37.0
14969-324-26,1,TYGACIL,32.74,32.74,29.13,29.13,30.0,38.0
14969-460-15,1,LORCET HD,831.56,831.56,717.02,717.02,30.0,38.0
14998-756-18,1,CLINDAMYCIN (PEDIATRIC),285.73,285.73,238.59,238.59,30.0,26.0
15010-811-49,1,LOXITANE,11.71,11.71,7.61,7.61,30.0,28.0
15077-160-37,1,BUTORPHANOL TARTRATE,1114.99,1114.99,724.72,724.72,90.0,83.0
15112-203-87,1,MORPHABOND ER,1620.75,1620.75,1475.5,1475.5,60.0,87.0
15114-312-58,1,MOXATAG,753.11,753.11,561.58,561.58,30.0,31.0
15149-522-91,1,FENTANYL,693.48,693.48,641.93,641.93,30.0,37.0
15157-194-72,1,CO-GESIC,82.84,82.84,74.47,74.47,60.0,89.0
15175-545-55,1,DEMECLOCYCLINE HCL,581.81,581.81,543.39,543.39,30.0,34.0
15175-759-51,1,MINOCYCLINE HCL,675.81,675.81,560.83,560.83,30.0,28.0
15202-933-39,1,FORTAZ,-75.55,-75.55,58.92,58.92,30.0,34.0
15243-453-31,1,FORTAZ,593.67,593.67,492.57,492.57,60.0,49.0
15245-778-95,1,CUBICIN RF,633.28,633.28,456.23,456.23,30.0,45.0
15281-348-27,1,OXAYDO,568.79,568.79,408.72,408.72,30.0,37.0
15334-101-89,1,PALIPERIDONE ER,1358.35,1358.35,-1070.91,1070.91,60.0,68.0
15338-402-48,1,CUBICIN RF,447.22,447.22,308.47,308.47,30.0,38.0
15366-870-38,1,CARISOPRODOL-ASPIRIN-CODEINE,385.44,385.44,262.97,262.97,30.0,31.0
15369-788-51,1,RECARBRIO,444.42,444.42,312.7,312.7,60.0,71.0
15381-504-66,1,MACROBID,1047.0,1047.0,984.48,984.48,30.0,43.0
15426-985-53,1,BIAXIN,84.99,84.99,77.57,77.57,30.0,31.0
15428-549-98,1,SEROQUEL XR,264.76,264.76,173.74,173.74,30.0,44.0
15429-151-27,1,HYCET,714.42,714.42,639.42,639.42,60.0,84.0
15478-799-40,1,MACRODANTIN,223.46,223.46,209.45,209.45,30.0,31.0
15510-478-27,1,TOBRAMYCIN SULFATE,181.53,181.53,161.7,161.7,30.0,35.0
15513-701-87,1,CAYSTON,205.98,205.98,140.11,140.11,30.0,25.0
15561-738-31,1,PERCODAN,584.38,584.38,545.07,545.07,30.0,27.0
15567-349-24,1,NAFCILLIN,785.22,785.22,741.69,741.69,60.0,69.0
15595-709-27,1,DAPTOMYCIN,207.73,207.73,169.13,169.13,30.0,25.0
15611-561-44,2,XENLETA,483.92,483.92,365.06,365.06,30.0,30.0
15611-568-21,1,LOXAPINE,623.1,623.1,549.82,549.82,30.0,26.0
15641-550-84,1,ZYPREXA,464.42,464.42,303.48,303.48,30.0,29.0
15695-684-88,1,ACETAMINOPHEN-CODEINE,114.44,114.44,89.49,89.49,30.0,38.0
15697-869-70,1,SUBSYS,421.32,421.32,309.75,309.75,60.0,50.0
15724-564-76,1,CIPROFLOXACIN-D5W,875.86,875.86,616.41,616.41,30.0,37.0
15772-361-49,1,SYNALGOS-DC,31.91,31.91,23.76,-23.76,60.0,87.0
15785-382-37,1,ABILIFY ASIMTUFII,280.72,280.72,176.72,176.72,30.0,30.0
15796-706-94,1,CEFAZOLIN,169.35,169.35,115.24,115.24,60.0,71.0
15798-296-52,1,NUPLAZID,565.9,565.9,349.31,349.31,30.0,42.0
15829-287-85,1,OPANA,559.79,559.79,395.78,395.78,60.0,78.0
