Provider_NPI,prescription_claim_count,total_billed_amount,average_billed_amount,total_paid_amount,average_paid_amount,average_days_supply,average_quantity_dispensed,average_processing_latency,average_retry_count,denial_rate,SLA_breach_rate
1000215586.0,1,1702.06,1702.06,1316.46,1316.46,60.0,75.0,0.0,1.0,1.0,0.0
1000369697.0,1,700.19,700.19,606.05,606.05,30.0,35.0,3.0,3.0,0.0,1.0
1000377508.0,1,545.62,545.62,382.32,382.32,60.0,73.0,1.0,0.0,0.0,0.0
1000407487.0,1,1553.25,1553.25,1013.16,1013.16,90.0,120.0,4.0,0.0,0.0,1.0
1001472778.0,1,107.88,107.88,68.35,68.35,60.0,63.0,3.0,0.0,0.0,1.0
1001814906.0,1,554.54,554.54,473.99,473.99,30.0,25.0,1.0,0.0,0.0,0.0
1002252861.0,1,989.06,989.06,657.69,657.69,30.0,44.0,3.0,0.0,0.0,1.0
1002338266.0,1,957.05,957.05,847.34,847.34,60.0,60.0,2.0,2.0,0.0,0.0
1002741381.0,1,619.04,619.04,551.45,551.45,30.0,26.0,0.0,1.0,0.0,0.0
1002778443.0,1,521.87,521.87,460.06,460.06,30.0,45.0,3.0,0.0,1.0,1.0
1003042508.0,1,104.63,104.63,81.8,81.8,30.0,39.0,3.0,2.0,0.0,1.0
1003697645.0,1,1479.6,1479.6,1361.5,1361.5,60.0,87.0,4.0,3.0,0.0,1.0
1003942972.0,1,147.2,147.2,89.46,89.46,30.0,25.0,0.0,1.0,0.0,0.0
1003985625.0,1,684.9,684.9,468.93,468.93,30.0,40.0,3.0,1.0,1.0,1.0
1004159542.0,1,116827.854941691,116827.854941691,944.0,944.0,60.0,56.0,2.0,0.0,0.0,0.0
1004277806.0,1,93.17,93.17,64.31,64.31,30.0,28.0,1.0,0.0,0.0,0.0
1004706236.0,1,73.35,73.35,44.13,44.13,30.0,41.0,2.0,3.0,0.0,0.0
1005211521.0,1,608.82,608.82,373.69,373.69,30.0,41.0,3.0,0.0,0.0,1.0
1005351646.0,1,561.28,561.28,494.4,494.4,30.0,41.0,1.0,3.0,0.0,0.0
1005515157.0,1,123.4,123.4,88.97,88.97,30.0,37.0,3.0,2.0,0.0,1.0
1005893407.0,1,533.45,533.45,383.67,383.67,30.0,26.0,2.0,2.0,0.0,0.0
1006210294.0,1,1292.69,1292.69,848.79,848.79,90.0,91.0,3.0,0.0,0.0,1.0
1007821687.0,1,460.06,460.06,362.82,362.82,60.0,63.0,3.0,0.0,0.0,1.0
1008601853.0,1,1622.04,1622.04,1238.02,1238.02,90.0,108.0,2.0,0.0,0.0,0.0
1009044527.0,1,351.46,351.46,295.18,295.18,30.0,37.0,3.0,0.0,0.0,1.0
1009166079.0,1,763.7,763.7,702.99,702.99,30.0,44.0,3.0,2.0,0.0,1.0
1009211352.0,1,568.2,568.2,435.34,435.34,30.0,38.0,0.0,3.0,0.0,0.0
1009377939.0,1,67.01,67.01,53.84,53.84,30.0,35.0,4.0,0.0,0.0,1.0
1009394467.0,1,2202.84,2202.84,1741.18,1741.18,90.0,103.0,3.0,3.0,0.0,1.0
1009819951.0,1,664.56,664.56,441.12,441.12,30.0,42.0,2.0,0.0,1.0,0.0
1009952131.0,1,682.65,682.65,590.6,590.6,30.0,41.0,3.0,0.0,0.0,1.0
1010002718.0,1,233.17,233.17,179.34,179.34,30.0,43.0,0.0,0.0,0.0,0.0
1010044016.0,1,561.71,561.71,419.98,419.98,30.0,32.0,3.0,3.0,0.0,1.0
1010243816.0,1,2028.79,2028.79,1740.29,1740.29,90.0,112.0,3.0,0.0,0.0,1.0
1010392038.0,1,426.08,426.08,1022.54,1022.54,30.0,35.0,0.0,1.0,0.0,0.0
1010681916.0,1,1180.08,1180.08,1105.26,1105.26,60.0,48.0,4.0,0.0,0.0,1.0
1011412524.0,1,51.98,51.98,37.18,37.18,60.0,84.0,4.0,3.0,0.0,1.0
1011607474.0,1,440.58,440.58,374.51,374.51,30.0,28.0,4.0,0.0,1.0,1.0
1011613722.0,1,648.95,648.95,547.47,547.47,30.0,45.0,4.0,0.0,0.0,1.0
1011853836.0,1,198.37,198.37,137.29,137.29,90.0,93.0,1.0,3.0,0.0,0.0
1011880226.0,1,1418.86,1418.86,1077.78,1077.78,60.0,89.0,0.0,3.0,0.0,0.0
1012224267.0,1,357.99,357.99,323.78,323.78,30.0,44.0,4.0,0.0,0.0,1.0
1012651361.0,1,466.69,466.69,299.45,299.45,30.0,28.0,2.0,0.0,0.0,0.0
1012804955.0,1,736.17,736.17,603.53,603.53,90.0,73.0,,3.0,0.0,0.0
1013138001.0,1,32.74,32.74,29.13,29.13,30.0,38.0,0.0,0.0,0.0,0.0
1013271262.0,1,435.53,435.53,394.66,394.66,30.0,33.0,2.0,0.0,0.0,0.0
1013417525.0,1,291.72,291.72,227.55,227.55,30.0,28.0,0.0,0.0,0.0,0.0
1013541077.0,1,436.35,436.35,356.28,356.28,60.0,55.0,4.0,0.0,0.0,1.0
1013564546.0,1,233.61,233.61,188.22,188.22,30.0,36.0,0.0,2.0,0.0,0.0
1013640222.0,1,97.1,97.1,66.3,66.3,30.0,31.0,1.0,0.0,0.0,0.0
1014244996.0,1,75.77,75.77,62.89,62.89,30.0,35.0,4.0,0.0,0.0,1.0
1014459790.0,1,107.69,107.69,82.11,82.11,30.0,25.0,0.0,2.0,0.0,0.0
1014987830.0,1,161.07,161.07,118.75,118.75,30.0,43.0,2.0,1.0,1.0,0.0
1015544487.0,1,831.68,831.68,601.06,601.06,60.0,76.0,2.0,0.0,0.0,0.0
1015946165.0,1,174.86,174.86,160.18,160.18,30.0,31.0,1.0,0.0,0.0,0.0
1015948960.0,1,182.1,182.1,164.48,164.48,30.0,30.0,3.0,0.0,0.0,1.0
1016034235.0,1,798.42,798.42,578.83,578.83,30.0,38.0,0.0,1.0,0.0,0.0
1016890230.0,1,62.26,62.26,56.06,56.06,90.0,84.0,0.0,0.0,0.0,0.0
1017055217.0,1,109.52,109.52,76.0,76.0,30.0,25.0,1.0,0.0,0.0,0.0
1017759558.0,1,602.54,602.54,407.43,407.43,90.0,100.0,1.0,0.0,1.0,0.0
1018308835.0,1,268.71,268.71,211.0,211.0,30.0,28.0,3.0,3.0,0.0,1.0
1018593635.0,1,204.27,204.27,153.9,153.9,30.0,38.0,4.0,1.0,0.0,1.0
1018633194.0,2,1170.7,585.35,733.64,366.82,90.0,88.0,3.0,2.0,0.0,1.0
1019297389.0,1,85.76,85.76,55.89,55.89,30.0,45.0,4.0,1.0,0.0,1.0
1020325380.0,1,257.77,257.77,225.68,225.68,30.0,32.0,1.0,1.0,0.0,0.0
1020459715.0,2,1520.72,760.36,1260.94,630.47,60.0,55.0,1.0,3.0,0.0,0.0
1021611596.0,1,1926.42,1926.42,1455.71,1455.71,90.0,94.0,2.0,0.0,1.0,0.0
1021883407.0,1,28.8,28.8,24.81,24.81,30.0,40.0,3.0,0.0,0.0,1.0
1022720478.0,1,251.25,251.25,218.11,218.11,30.0,37.0,2.0,0.0,0.0,0.0
1022838603.0,1,647.67,647.67,416.84,416.84,30.0,42.0,1.0,3.0,0.0,0.0
1023092995.0,1,349.05,349.05,319.45,319.45,30.0,28.0,2.0,2.0,0.0,0.0
1023920299.0,1,346.84,346.84,227.62,227.62,30.0,38.0,2.0,3.0,0.0,0.0
1024248983.0,1,77.16,77.16,53.5,53.5,30.0,28.0,0.0,0.0,0.0,0.0
1024726626.0,1,1441.99,1441.99,1351.28,1351.28,90.0,74.0,1.0,1.0,0.0,0.0
1025337145.0,1,1909.84,1909.84,1662.13,1662.13,90.0,78.0,2.0,0.0,0.0,0.0
1025476201.0,1,688.21,688.21,439.27,439.27,30.0,38.0,2.0,0.0,0.0,0.0
1025899145.0,1,298.73,298.73,232.78,232.78,30.0,24.0,4.0,0.0,0.0,1.0
1026044787.0,1,1065.03,1065.03,1005.29,1005.29,90.0,110.0,3.0,0.0,0.0,1.0
1026543048.0,1,1366.43,1366.43,835.05,835.05,90.0,79.0,0.0,2.0,1.0,0.0
1026845017.0,1,673.56,673.56,600.16,600.16,30.0,33.0,0.0,0.0,0.0,0.0
1026896719.0,1,665.77,665.77,549.31,549.31,30.0,27.0,3.0,0.0,0.0,1.0
1027695878.0,1,267.63,267.63,170.17,170.17,30.0,28.0,3.0,0.0,1.0,1.0
1028250461.0,1,147.53,147.53,106.23,106.23,30.0,33.0,4.0,2.0,1.0,1.0
1028437684.0,1,263.76,263.76,212.64,212.64,30.0,33.0,2.0,1.0,0.0,0.0
1028723752.0,1,827.37,827.37,551.67,551.67,90.0,109.0,1.0,0.0,0.0,0.0
1028834868.0,1,657.29,657.29,484.84,484.84,30.0,38.0,4.0,0.0,0.0,1.0
1029538249.0,1,630.54,630.54,434.71,434.71,30.0,26.0,4.0,2.0,0.0,1.0
1029729671.0,1,420.03,420.03,276.05,276.05,60.0,54.0,4.0,0.0,1.0,1.0
1030463873.0,1,1981.74,1981.74,1671.85,1671.85,90.0,127.0,3.0,0.0,0.0,1.0
1030791650.0,1,444.42,444.42,312.7,312.7,60.0,71.0,1.0,0.0,1.0,0.0
1031069947.0,1,662.52,662.52,445.71,445.71,30.0,42.0,0.0,0.0,1.0,0.0
1031384539.0,1,1335.31,1335.31,1184.84,1184.84,90.0,114.0,4.0,0.0,0.0,1.0
1031915489.0,1,233.22,233.22,206.05,206.05,90.0,102.0,3.0,0.0,0.0,1.0
1032051449.0,1,2031.04,2031.04,1401.83,1401.83,60.0,84.0,0.0,1.0,0.0,0.0
1033434056.0,1,749.07,749.07,688.81,688.81,60.0,60.0,2.0,1.0,0.0,0.0
1033538413.0,1,1541.89,1541.89,927.74,927.74,60.0,75.0,0.0,2.0,0.0,0.0
1034051336.0,1,19.06,19.06,13.74,13.74,60.0,54.0,3.0,3.0,0.0,1.0
1034430744.0,1,518.29,518.29,353.09,353.09,30.0,29.0,1.0,1.0,0.0,0.0
1034931755.0,1,136.61,136.61,122.44,122.44,30.0,27.0,4.0,2.0,0.0,1.0
1035053821.0,1,786.52,786.52,727.66,727.66,30.0,38.0,4.0,2.0,0.0,1.0
1035184086.0,1,1885.95,1885.95,1518.89,1518.89,60.0,76.0,2.0,0.0,0.0,0.0
1035678406.0,1,1325.09,1325.09,948.65,948.65,60.0,58.0,0.0,2.0,0.0,0.0
1035687794.0,1,2371.98,2371.98,1604.05,1604.05,90.0,132.0,,3.0,0.0,0.0
1036589260.0,1,1499.37,1499.37,1395.2,1395.2,60.0,89.0,1.0,0.0,0.0,0.0
1036642495.0,1,176.93,176.93,119.23,119.23,30.0,38.0,4.0,0.0,0.0,1.0
1037194784.0,1,658.77,658.77,411.4,411.4,30.0,42.0,4.0,2.0,0.0,1.0
1038193456.0,1,49860.0984408984,49860.0984408984,828.71,828.71,30.0,39.0,4.0,0.0,0.0,1.0
1038631193.0,1,37.11,37.11,34.93,34.93,30.0,40.0,3.0,3.0,0.0,1.0
1039218639.0,1,520.82,520.82,489.56,489.56,60.0,84.0,0.0,3.0,0.0,0.0
1039332792.0,1,361.48,361.48,223.74,223.74,60.0,82.0,4.0,2.0,0.0,1.0
1039621000.0,1,720.68,720.68,494.85,494.85,30.0,38.0,0.0,3.0,0.0,0.0
1040331086.0,1,229.14,229.14,152.41,152.41,60.0,53.0,2.0,2.0,0.0,0.0
1040597457.0,1,847.72,847.72,664.01,664.01,30.0,45.0,3.0,1.0,0.0,1.0
1040776193.0,1,17.06,17.06,15.73,15.73,30.0,43.0,2.0,0.0,0.0,0.0
1041072611.0,1,578.25,578.25,412.03,412.03,60.0,55.0,4.0,0.0,0.0,1.0
1041286212.0,1,399.44,399.44,332.44,332.44,30.0,40.0,0.0,0.0,0.0,0.0
1041323170.0,1,150.67,150.67,108.75,108.75,90.0,124.0,4.0,0.0,1.0,1.0
1041343484.0,1,906.61,906.61,727.2,727.2,60.0,59.0,,3.0,0.0,0.0
1041494158.0,1,516.5,516.5,473.77,473.77,30.0,43.0,1.0,0.0,1.0,0.0
1041505146.0,1,711.92,711.92,498.32,498.32,30.0,35.0,2.0,0.0,0.0,0.0
1041669927.0,1,1037.72,1037.72,662.87,662.87,90.0,111.0,3.0,1.0,1.0,1.0
1043039284.0,1,2182.69,2182.69,1538.81,1538.81,90.0,108.0,4.0,0.0,0.0,1.0
1043100946.0,1,1197.21,1197.21,1120.9,1120.9,60.0,70.0,0.0,0.0,1.0,0.0
1043166158.0,1,169.16,169.16,108.83,108.83,30.0,40.0,4.0,1.0,0.0,1.0
1043856416.0,1,111.77,111.77,69.55,69.55,30.0,29.0,0.0,3.0,0.0,0.0
1043862347.0,1,1053.57,1053.57,848.51,848.51,60.0,51.0,2.0,0.0,1.0,0.0
1044625520.0,1,1967.49,1967.49,1746.19,1746.19,60.0,87.0,1.0,0.0,0.0,0.0
1045433105.0,1,387.38,387.38,249.61,249.61,30.0,36.0,2.0,1.0,1.0,0.0
1046019618.0,1,506.52,506.52,393.37,393.37,30.0,27.0,3.0,3.0,0.0,1.0
1046221895.0,1,1138.92,1138.92,761.07,761.07,60.0,51.0,1.0,1.0,0.0,0.0
1046572942.0,1,346.07,346.07,223.02,223.02,30.0,41.0,1.0,3.0,1.0,0.0
1047046753.0,1,211.6,211.6,145.01,145.01,30.0,25.0,0.0,2.0,0.0,0.0
1047919718.0,1,203.75,203.75,173.24,173.24,30.0,34.0,3.0,2.0,1.0,1.0
1048069975.0,2,1336.64,668.32,880.78,440.39,30.0,41.0,0.0,0.0,0.0,0.0
1048095381.0,1,972.99,972.99,630.31,630.31,30.0,40.0,4.0,0.0,0.0,1.0
1048108712.0,1,485.43,485.43,423.31,423.31,30.0,35.0,0.0,0.0,0.0,0.0
1048127883.0,1,1156.8,1156.8,863.38,863.38,60.0,82.0,3.0,0.0,0.0,1.0
1048208898.0,1,389.04,389.04,361.42,361.42,60.0,54.0,4.0,0.0,0.0,1.0
1048821556.0,1,1703.13,1703.13,1544.26,1544.26,90.0,101.0,2.0,0.0,0.0,0.0
1049169114.0,1,741.1,741.1,610.37,610.37,30.0,37.0,4.0,0.0,0.0,1.0
1049686752.0,1,1198.1,1198.1,1093.33,1093.33,60.0,86.0,1.0,0.0,0.0,0.0
1050734916.0,1,609.73,609.73,432.98,432.98,30.0,32.0,1.0,3.0,0.0,0.0
1051289881.0,1,907.91,907.91,715.38,715.38,60.0,61.0,4.0,0.0,0.0,1.0
1051626409.0,1,272.52,272.52,192.2,192.2,30.0,25.0,1.0,0.0,0.0,0.0
1051989007.0,1,892.74,892.74,708.14,708.14,60.0,62.0,3.0,0.0,1.0,1.0
1052346934.0,1,699.68,699.68,590.45,590.45,30.0,42.0,1.0,3.0,0.0,0.0
1052347143.0,1,184.47,184.47,137.88,137.88,30.0,24.0,4.0,0.0,0.0,1.0
1053027785.0,1,533.75,533.75,376.6,376.6,30.0,38.0,1.0,0.0,0.0,0.0
1053149166.0,1,343.51,343.51,306.18,306.18,30.0,29.0,0.0,2.0,0.0,0.0
1053285774.0,1,1735.83,1735.83,1399.08,1399.08,60.0,79.0,0.0,0.0,0.0,0.0
1053412795.0,1,1301.08,1301.08,1056.11,1056.11,60.0,62.0,4.0,3.0,0.0,1.0
1054194391.0,1,739.57,739.57,519.61,519.61,60.0,77.0,2.0,0.0,0.0,0.0
1054226087.0,1,391.03,391.03,339.43,339.43,30.0,26.0,4.0,0.0,0.0,1.0
1054413648.0,1,705.09,705.09,659.62,659.62,30.0,37.0,1.0,0.0,1.0,0.0
1054895866.0,1,423.93,423.93,377.52,377.52,30.0,38.0,0.0,3.0,0.0,0.0
1055404999.0,1,80.43,80.43,73.7,73.7,30.0,31.0,3.0,0.0,1.0,1.0
1055512191.0,1,491.75,491.75,397.62,397.62,30.0,32.0,2.0,0.0,0.0,0.0
1055748248.0,1,327.11,327.11,251.75,251.75,30.0,27.0,0.0,0.0,0.0,0.0
1056448593.0,1,262.8,262.8,246.36,246.36,30.0,26.0,4.0,0.0,0.0,1.0
1057109401.0,1,695.04,695.04,506.96,506.96,30.0,37.0,2.0,1.0,0.0,0.0
1057167713.0,1,560.59,560.59,502.54,502.54,30.0,25.0,2.0,0.0,0.0,0.0
1057269622.0,1,570.99,570.99,514.34,514.34,30.0,39.0,2.0,3.0,0.0,0.0
1057479622.0,1,1018.84,1018.84,806.37,806.37,60.0,54.0,0.0,3.0,0.0,0.0
1058910749.0,1,96.03,96.03,78.85,78.85,60.0,53.0,1.0,0.0,0.0,0.0
1059101816.0,1,539.72,539.72,367.24,367.24,30.0,45.0,2.0,1.0,0.0,0.0
1060023928.0,1,1569.57,1569.57,1228.84,1228.84,60.0,80.0,2.0,0.0,0.0,0.0
1060035140.0,1,1081.9,1081.9,872.26,872.26,60.0,51.0,2.0,1.0,1.0,0.0
1060733886.0,1,1396.83,1396.83,1222.88,1222.88,60.0,74.0,1.0,3.0,0.0,0.0
1060882278.0,1,987.96,987.96,617.82,617.82,30.0,41.0,0.0,2.0,0.0,0.0
1060885109.0,1,254.63,254.63,196.4,196.4,60.0,57.0,3.0,0.0,0.0,1.0
1060958384.0,2,410.58,205.29,296.7,148.35,30.0,38.0,3.0,1.0,0.0,1.0
1060969427.0,1,355.32,355.32,333.04,333.04,30.0,30.0,1.0,0.0,0.0,0.0
1062135472.0,1,2028.08,2028.08,1645.27,1645.27,90.0,82.0,1.0,0.0,0.0,0.0
1063143868.0,1,953.99,953.99,800.64,800.64,60.0,78.0,0.0,0.0,0.0,0.0
1063193327.0,1,2148.01,2148.01,1309.21,1309.21,90.0,99.0,4.0,0.0,1.0,1.0
1063421752.0,1,380.28,380.28,287.41,287.41,90.0,77.0,1.0,0.0,0.0,0.0
1063612675.0,1,1483.61,1483.61,1348.98,1348.98,60.0,77.0,1.0,3.0,0.0,0.0
1063999189.0,1,1486.57,1486.57,1276.44,1276.44,60.0,89.0,2.0,0.0,0.0,0.0
1064014034.0,1,704.16,704.16,633.2,633.2,60.0,76.0,4.0,3.0,0.0,1.0
1064168062.0,1,2453.27,2453.27,2302.4,2302.4,90.0,119.0,2.0,0.0,1.0,0.0
1064379504.0,1,587.16,587.16,510.77,510.77,30.0,25.0,0.0,0.0,1.0,0.0
1064509236.0,1,778.99,778.99,475.93,475.93,30.0,35.0,0.0,2.0,0.0,0.0
1064913883.0,1,248.38,248.38,169.59,169.59,30.0,32.0,2.0,0.0,1.0,0.0
1065062433.0,1,822.65,822.65,555.77,555.77,60.0,64.0,2.0,2.0,0.0,0.0
1065235219.0,1,2072.32,2072.32,1490.82,1490.82,60.0,86.0,1.0,0.0,0.0,0.0
1065394415.0,1,738.46,738.46,461.59,461.59,30.0,38.0,0.0,0.0,0.0,0.0
1066120250.0,1,416.32,416.32,329.0,329.0,30.0,34.0,4.0,1.0,0.0,1.0
1066177068.0,1,1815.64,1815.64,1148.22,1148.22,90.0,82.0,3.0,0.0,0.0,1.0
1066764250.0,1,509.17,509.17,433.03,433.03,30.0,32.0,4.0,0.0,0.0,1.0
1066934751.0,1,850.62,850.62,597.03,597.03,30.0,42.0,1.0,3.0,0.0,0.0
1067067455.0,1,253.64,253.64,196.71,196.71,30.0,38.0,0.0,0.0,0.0,0.0
1067184931.0,1,68.4,68.4,60.4,60.4,30.0,37.0,0.0,0.0,1.0,0.0
1067426951.0,1,121.87,121.87,78.59,78.59,60.0,67.0,0.0,2.0,0.0,0.0
1068389332.0,1,747.48,747.48,591.99,591.99,30.0,37.0,2.0,0.0,0.0,0.0
1068668303.0,1,568.79,568.79,408.72,408.72,30.0,37.0,3.0,3.0,0.0,1.0
1068765597.0,1,1147.77,1147.77,924.82,924.82,60.0,66.0,2.0,0.0,0.0,0.0
1068789265.0,1,759.94,759.94,656.52,656.52,30.0,31.0,1.0,0.0,0.0,0.0
1070045534.0,1,754.7,754.7,561.0,561.0,30.0,38.0,0.0,0.0,0.0,0.0
